mV1	mV2	mV3	mV4	mV5	mV6
40.7328	55.4766	38.5362	39.6395	29.1559	41.0804
43.9709	31.3193	31.4727	37.6973	38.0428	21.2414
0.0	0.0	0.0	0.0	0.0	0.0
14.9053	12.1292	13.0529	16.2117	22.0229	6.120369999999999
418.592	375.829	458.214	523.5740000000001	520.085	455.166
7.710380000000001	9.20237	16.5843	20.4996	10.3566	11.725999999999999
0.0	0.0	0.0	0.0	0.0	0.0
1.30672	0.0	1.80683	19.1869	3.2909699999999997	6.25986
73.7784	69.7395	73.4509	62.9122	71.9461	59.7815
222.03900000000002	225.965	249.22099999999998	210.767	240.69400000000002	191.088
48.1259	65.5974	87.3401	56.1609	84.8438	53.5203
60.6543	47.5238	56.354	51.8899	52.8917	52.1739
0.404185	0.0	0.558875	0.439612	1.01794	0.0
0.0	0.500793	0.0	0.557794	1.03328	0.0
392.811	214.016	237.773	368.564	246.263	209.984
202.31900000000002	235.035	218.657	226.37599999999998	243.643	206.894
957.073	1032.86	1020.11	663.5269999999999	944.58	939.4910000000001
2.52287	0.0	0.0	0.0	0.0	0.0
92.0264	96.4396	101.384	78.9348	106.275	93.189
486.852	468.815	462.709	456.04	423.19300000000004	456.39300000000003
27.4659	30.7647	33.5097	48.3244	38.2486	32.0648
79.5862	76.1924	80.9159	78.0755	70.7429	83.3006
284.001	287.897	281.35200000000003	246.739	292.64599999999996	206.803
168.44099999999997	106.473	136.209	144.764	151.507	143.064
334.60699999999997	284.414	320.933	297.14	373.02099999999996	310.885
146.997	168.885	162.657	139.484	154.57399999999998	137.67600000000002
118.705	103.82	112.75399999999999	74.0975	94.6268	103.13600000000001
165.208	175.128	185.31099999999998	172.798	224.363	170.761
8.34464	11.2043	6.49031	7.94154	2.627	7.852289999999999
237.395	285.072	252.842	230.28799999999998	190.675	351.273
52.8059	48.7005	63.5509	60.6252	60.0927	52.1999
11.3939	5.05737	8.59344	23.6586	8.34783	8.50644
312.807	271.879	306.756	282.314	308.418	270.249
4.9712	4.3689599999999995	4.81166	5.40693	3.5056	2.72168
127.29	193.09400000000002	187.077	149.767	130.65200000000002	218.05599999999998
132.66899999999998	118.756	117.20100000000001	165.675	127.464	109.289
77.285	80.7344	79.278	72.5254	81.8405	64.4531
17.5182	16.329	15.4145	19.9197	16.8457	9.80898
0.0	0.0	0.0	0.0	0.0	0.0
55.2789	105.561	84.9283	53.4437	79.2009	85.7498
123.14	163.062	127.70200000000001	156.256	156.944	136.624
78.0897	70.2029	59.1299	88.3047	62.4347	47.5036
94.3719	119.691	96.178	110.005	129.53799999999998	94.1751
0.0	0.0	0.0	0.0	0.0	0.0
12.9043	9.800889999999999	14.8693	21.0531	9.38879	13.7375
4.35041	2.83213	0.0	3.15448	1.4608700000000001	5.95451
185.773	198.283	192.868	169.16299999999998	195.231	222.171
255.94	231.891	297.344	229.58700000000002	260.493	249.19099999999997
108.571	120.369	125.85600000000001	129.63	117.598	109.49700000000001
139.804	116.61	108.73700000000001	114.04299999999999	134.384	117.204
136.273	107.196	102.589	97.165	89.99600000000001	77.7169
23.2347	16.8847	18.6786	25.2712	25.584	18.4895
7.7015	10.5288	10.649000000000001	15.0778	7.75851	12.6495
0.0	0.0	0.0	0.0	0.0	0.0
3.90299	1.42923	0.6745939999999999	3.18382	1.47446	3.3388199999999997
174.657	99.6152	119.68299999999999	105.91	132.352	131.164
3.44337	1.1208200000000001	0.0	0.0	0.0	1.57101
51.816	70.0595	68.8915	61.2348	52.7015	69.5579
9.31766	12.1316	11.0432	19.3035	14.3034	11.5387
1.91557	2.93945	1.5135399999999999	3.57166	0.827034	1.49822
38.4142	37.5117	27.2759	60.9781	50.2036	26.9998
65.899	61.4906	38.4729	54.1545	76.7137	52.1141
0.0	0.0	0.0	0.0	0.0	0.0
10.9625	8.81584	13.3748	11.9234	8.445160000000001	16.7699
2.92404	2.85534	3.0323599999999997	7.155760000000001	4.4185300000000005	11.0061
101.601	102.255	97.9637	99.0749	105.491	96.9719
12.7472	13.3698	11.0978	12.8375	13.3172	15.5088
149.00799999999998	168.767	160.08100000000002	173.516	180.803	213.80700000000002
125.84200000000001	133.57	137.018	125.631	126.161	125.645
139.031	188.74599999999998	201.61900000000003	188.09900000000002	181.053	194.93599999999998
15.1348	15.3266	20.9273	19.5098	15.8116	14.5775
231.46599999999998	250.166	217.956	253.84900000000002	285.895	221.46099999999998
84.4782	46.9899	85.7592	65.1321	71.0992	62.9364
119.266	59.7917	58.4063	60.9992	58.2865	50.5274
0.0	0.0	0.0	1.3817700000000002	0.0	1.73885
26.5935	15.7667	21.0123	19.6273	22.9632	16.8996
246.637	229.373	260.357	210.56599999999997	211.06	225.05200000000002
