mP1	mP2	mP3	mP4	mP5	mP6
138.387	158.457	144.361	128.536	145.51	121.619
123.62	90.3879	109.79299999999999	83.413	73.9871	87.7118
151.1	169.015	239.668	152.52700000000002	158.939	167.618
14.5742	4.20642	11.7475	10.7036	7.47659	12.6622
247.59599999999998	255.044	276.995	271.585	203.11900000000003	281.255
39.0379	38.3085	45.2767	38.8842	66.5884	39.5692
12.4051	5.9673	12.9618	9.3004	12.3742	13.970999999999998
290.784	287.566	281.779	280.296	288.881	254.34599999999998
1.32302	7.44615	9.95327	5.10122	6.53264	2.68206
180.037	177.10299999999998	114.206	137.60299999999998	135.80700000000002	185.727
112.791	96.2461	79.9346	124.479	121.804	107.698
81.3172	72.4806	96.7119	76.0788	84.1682	70.5452
26.49	9.174719999999999	53.8076	14.2994	17.1227	19.3324
0.0	0.0	0.0	0.0	0.0	0.0
73.559	80.6768	67.637	89.8142	67.5056	66.2758
167.585	257.967	295.346	212.995	232.92	193.773
62.6777	67.8381	71.3502	75.5213	69.5962	58.5152
89.5568	120.865	87.0413	114.781	113.63799999999999	92.8042
0.0	0.0	0.0	0.0	0.0	0.0
18.1256	14.8684	39.473	11.0349	7.70798	13.5375
1.9296799999999998	1.67084	1.81465	5.58024	0.0	3.91189
185.61	224.71400000000003	194.62599999999998	179.707	198.33700000000002	195.628
284.399	243.21099999999998	264.144	226.75900000000001	211.192	238.446
112.429	115.219	114.41	122.51	121.413	111.20700000000001
124.024	113.429	126.836	110.584	126.65299999999999	94.2839
104.773	84.613	216.002	89.3407	83.2073	77.6068
24.4469	25.8371	19.2707	28.0702	24.8521	26.6017
6.14898	21.2968	15.4198	7.9029300000000005	14.7208	10.3878
0.0	0.0	0.0	0.0	0.0	0.0
3.2460400000000003	1.68638	2.44204	0.625793	0.582831	1.97413
127.51899999999999	83.7014	106.37899999999999	95.1639	99.7095	77.13600000000001
0.0	0.0	0.0	0.0	0.0	1.54814
41.7684	53.9617	83.5449	51.1262	44.6403	63.8413
26.5691	34.2523	16.1016	32.4403	28.6231	29.3245
4.00561	1.26121	3.4243900000000003	4.21215	1.63457	2.21461
17.9602	31.1022	51.9679	45.2785	44.6507	37.8096
46.7686	72.5541	40.3156	45.0817	59.4813	65.182
0.0	0.0	0.0	0.0	0.0	0.0
6.8648	4.458	16.139	13.2344	10.0147	5.21868
2.91824	7.580419999999999	7.3181	7.50131	10.4795	4.92994
97.3852	98.2267	101.81	98.3666	123.23700000000001	121.288
12.5649	15.2313	14.1791	14.534	12.9722	17.8302
132.68	146.795	112.294	139.974	121.762	141.211
140.76	150.59799999999998	113.351	142.701	133.631	112.337
