mK1	mK2	mK3	mK4	mK5	mK6
286.80400000000003	282.47900000000004	315.231	307.905	247.79	333.939
421.371	487.241	495.413	390.966	557.342	398.025
506.095	556.311	533.706	513.591	509.71	469.202
812.9680000000001	684.3839999999999	879.1389999999999	742.643	640.695	856.3380000000001
96.5992	117.991	121.00200000000001	106.37899999999999	117.08200000000001	115.46799999999999
359.379	299.421	420.406	354.73800000000006	239.68599999999998	290.053
543.082	511.219	545.439	582.755	862.038	633.4490000000001
39.1512	86.7845	34.7382	32.7939	65.0047	45.8448
182.69299999999998	194.77200000000002	217.18	205.196	208.14	203.40599999999998
16.4536	26.3872	20.2877	21.203000000000003	21.7053	23.9558
150.151	180.512	152.688	168.442	175.085	192.55
251.24400000000003	240.701	301.59	229.688	312.497	289.32
8.36439	25.1517	7.05658	10.2398	10.1854	15.0437
65.2783	120.61399999999999	60.3167	64.2256	76.5457	71.5258
1327.59	774.824	1326.58	1165.29	870.421	801.8960000000001
110.03200000000001	85.2771	107.154	95.8672	92.98299999999999	83.916
79.3572	91.3185	62.602	50.0693	61.1804	79.1749
0.651036	0.565546	0.0	0.0	0.0	0.0
71.5467	56.6271	59.0187	49.275	48.2402	69.0374
83.3115	118.522	47.8755	52.5905	172.02200000000002	135.775
57.7544	35.5374	61.582	65.1737	45.5015	25.8996
32.1176	81.5867	44.7492	61.957	61.6275	60.681999999999995
0.0	0.0	0.0	0.0	0.0	0.0
198.567	205.54	192.57	178.75900000000001	199.519	232.44400000000002
5.630669999999999	8.15214	0.0	4.7163699999999995	7.427860000000001	2.08969
195.709	215.115	202.175	200.731	211.81	182.32299999999998
100.744	90.4815	57.6218	61.5012	126.14200000000001	76.0448
169.049	200.543	162.227	169.03400000000002	223.703	181.157
145.511	135.57299999999998	162.83100000000002	155.35399999999998	138.248	154.454
166.578	299.622	156.239	112.444	182.26	171.282
11.889000000000001	17.9219	17.9952	20.7957	17.0677	22.9701
53.8268	76.1993	37.0014	40.0769	36.8186	62.1492
0.0	0.0	0.0	0.0	0.0	0.0
4.42013	13.1647	3.7290300000000003	1.0578299999999998	3.3319699999999997	1.40608
12.003	27.8049	10.1263	5.02698	7.91705	15.5912
7.42784	34.8433	8.77305	7.466069999999999	9.79866	0.0
81.8963	92.4289	95.7488	104.24799999999999	59.5474	121.336
21.2481	31.9272	11.1431	20.203	28.7876	19.1815
32.9391	49.228	26.8925	33.524	46.2561	72.1644
116.90700000000001	130.738	88.425	103.551	131.17700000000002	122.681
62.5475	47.7483	38.3767	65.0921	35.0049	54.8672
1.76227	13.7777	1.4867299999999999	0.0	2.32475	0.0
12.5194	27.5511	21.828000000000003	20.2739	17.6163	28.8069
4.73068	17.2598	9.578439999999999	3.9625199999999996	17.4737	12.6409
60.4602	65.2136	41.6557	50.6428	55.1659	57.2178
2.44423	10.0855	0.515515	1.02367	11.2853	3.4016900000000003
43.0169	62.9031	37.5007	44.4393	54.8555	54.28
212.445	233.078	203.78900000000002	192.44799999999998	226.27900000000002	194.482
52.6671	64.8142	70.3512	22.0575	86.8467	58.6384
2.17653	18.277	7.95695	3.03852	1.9141599999999999	9.69321
154.154	217.291	136.361	183.417	201.165	178.571
105.18700000000001	91.3744	89.90799999999999	78.8324	76.6833	107.867
0.459417	0.598635	0.387585	0.577227	0.909082	0.511506
0.0	0.0	0.0	0.0	0.0	0.0
43.0245	36.306999999999995	51.8535	40.1569	56.7571	60.2204
91.6957	94.1375	113.34899999999999	83.37799999999999	76.3297	94.4487
