Gene	Brain_Male2	Ovary_Female1	Ovary_Female2	Ovary_Female3	Testis_Male4
Locus_107067	0	0	0	0	1.9
Locus_132145	0	8.86	2.1	3.83	0
ENSOANG00000011483	16.94	33.04	32.27	64.71	51.5
ENSOANG00000008835	65.49	16.56	24.16	52.39	6.81
ENSOANG00000006959	2.68	3.31	3.04	1.68	4.05
ENSOANG00000005305	0	0	0	0	0.08
ENSOANG00000021841	19.03	50.26	18.33	31.98	21.19
Locus_108287	0.14	0	0	0.26	0.82
Locus_195655	0	0	0	0	0.13
blastnMouse.Locus_59606	0	0	0	0	0
ENSOANG00000001188	0	0	0	0	0.78
ENSOANG00000006405	1.04	2.59	3.57	3.25	0.42
Locus_93912	0	0.92	0.51	0.26	0
ENSOANG00000006258	8.32	20.74	24.45	29.52	30.35
ENSOANG00000003954	0.51	0.27	1.57	2.25	0.27
Locus_64713	0.24	11.07	1.11	3.82	12.02
ENSOANG00000010598	4.62	7.86	10.19	6.51	7.59
ENSOANG00000011890	3.08	1.53	0.42	0.61	30.11
Locus_27113	0.33	5.35	1.23	0.62	0.36
ENSOANG00000005659	130.19	206.35	134.22	204.1	102.67
blastnOpossum.Locus_313211	0	0	0	0	0
ENSOANG00000021370	17.48	32.56	11.14	26.09	11.33
ENSOANG00000006050	4.22	4.31	6.29	5.1	161.65
ENSOANG00000000881	4.65	4.68	7.77	10.06	11.66
ENSOANG00000007069	0	3.96	1.82	6.01	0.24
Locus_185664	0.19	0.29	0.39	0.18	1.09
ENSOANG00000012385	41.12	43.4	106.07	111.86	201.75
blastnMouse.Locus_71586	0	0	0	0	0
Locus_14510	0	0	0	0	5.68
Locus_1680	0.36	0	0	0	2.68
Locus_77438	0.42	0	0	0	0.15
Locus_150568	0	0	0	0	2.06
ENSOANG00000000604	1.19	0.67	1.09	1.79	0.95
ENSOANG00000000663	18.84	13.69	14.22	9.52	17.42
ENSOANG00000007841	10.64	0.03	0.42	0.24	0.06
ENSOANG00000007150	0	0	0	0.25	0
ENSOANG00000008591	47.38	111.49	24.5	11.96	60.37
Locus_33605	0	0	0	0	0.86
ENSOANG00000004007	98.61	32.49	11.6	4.55	9.41
Locus_90005	0	0.35	0.71	1.2	0
Locus_108200	0	1.36	0	0.24	0.28
Locus_189568	0	0.22	0	0.31	0.36
Locus_143472	0	4.44	1.75	1.47	0
ENSOANG00000019759	18.28	36.41	23.66	28.91	96.26
CUFF.110066	2.18	3.67	7.17	5.23	3.04
ENSOANG00000005889	0	0.1	0	0	0
Locus_91925	0	0.09	0.26	0.26	0.08
ENSOANG00000003637	0.8	0.18	0.49	0	55.65
ENSOANG00000012987	534.88	190.9	121.78	106.66	76.71
ENSOANG00000021572	0	0	0	0	0.92
ENSOANG00000008565	38.8	27.43	15.8	17.88	29.19
ENSOANG00000007114	10.81	1.01	0.75	0.36	0.78
ENSOANG00000002887	36.96	82.21	57.16	43.18	31.25
Locus_16731	4.55	2.71	0.44	0.63	4.59
ENSOANG00000001246	265.1	176.52	166.95	243.37	100.96
ENSOANG00000022200	2.5	1.9	3.27	0.99	0.19
ENSOANG00000008452	4.02	3.12	5.65	6.74	6.3
ENSOANG00000001471	51.36	49.03	6.97	4.66	27.6
ENSOANG00000008174	971.72	196.99	83.29	71.82	160.24
ENSOANG00000022422	64.93	68.91	28.72	38.64	20.4
ENSOANG00000008012	46.84	5.51	4.24	3.04	25.36
ENSOANG00000009731	1.56	0	0.1	0.31	0
Locus_134514	0	0	0	0	0.89
Locus_52006	0	0	0	0	8.54
ENSOANG00000011100	15.74	24.13	18.84	15	27.55
ENSOANG00000008807	26.44	26.55	7.05	8.62	89.41
ENSOANG00000005597	48.1	3.19	2.37	10.43	152.82
ENSOANG00000015493	86.62	70.16	28.53	26.25	267.46
ENSOANG00000021995	3.92	6	4.29	4.97	2.37
ENSOANG00000011329	29.37	25.57	28.73	23.25	9.42
ENSOANG00000022140	0	1.17	0.07	0.44	16.78
ENSOANG00000002415	3.73	0.84	0.23	0.56	123.1
Locus_99787	0	0	0	0	6.2
ENSOANG00000004259	21.44	13.64	30.3	39.5	10.69
ENSOANG00000008309	17.81	12.77	20.29	15.83	20.22
Locus_141813	0	1.64	1.41	0.86	0
Locus_165185	2.26	1.28	3.19	5.49	0.56
ENSOANG00000002728	129.45	34.69	13.9	14.5	1101.24
ENSOANG00000013650	1.82	1.75	10.38	19.51	2.78
ENSOANG00000004117	0.6	0.69	1.07	1.81	4.07
ENSOANG00000014006	319.63	59.22	68.95	102.34	130.61
ENSOANG00000000926	4.25	4.48	6.95	10.73	11.83
ENSOANG00000013426	0.06	0.03	0.04	0.02	0.09
ENSOANG00000007379	1.09	5.39	14.16	38.66	1.19
ENSOANG00000010181	37.61	82.36	35.48	46.13	80.58
Locus_91044	0	0	0	0	1.09
Locus_48960	0	0.11	0.29	0.15	0.17
ENSOANG00000013483	36.87	104.57	16.95	24.33	258.15
Locus_162057	0	0.73	0.6	1.62	0.24
blastnChicken.Locus_76960	0	0	0	0	0
Locus_64422	0	0	0.1	0	0.62
ENSOANG00000008569	72.64	63.04	23.68	14.4	121.79
Locus_142473	0	0	0	0.12	3.96
ENSOANG00000014893	0.11	0	0	0.05	2.25
ENSOANG00000010252	2.07	1.14	1.74	1	0.29
ENSOANG00000004637	30.24	2.23	6.96	9.42	4.23
ENSOANG00000005568	1.18	25.7	6.37	7.32	96.61
ENSOANG00000007437	12.53	5.04	3.37	3.97	3.99
ENSOANG00000021496	0	0	0	0	0
ENSOANG00000010863	390.75	61.71	41.84	87.36	55.27
ENSOANG00000000146	1.32	9.84	2.51	2.22	0.47
ENSOANG00000022226	0	0	0	0	0
Locus_180241	0	0	0.48	0.49	0.57
ENSOANG00000014642	0	0	0	0	0
ENSOANG00000002164	0	0	0.05	0.06	0.55
Locus_158595	0	0	0	0	0.86
ENSOANG00000015685	0.54	4.39	7.96	13.6	2.68
Locus_6608	0	8.14	1.38	3.22	0
ENSOANG00000006459	21.61	23.06	10.21	13.02	19.64
ENSOANG00000021908	3.64	1.21	1	1.35	92.98
Locus_91343	0	0	0	0	2.45
CUFF.88688	0.32	2.34	2.35	4.74	54.8
ENSOANG00000012418	4.85	16.45	3.69	2.55	7.51
ENSOANG00000000658	70.59	29.41	17.03	13.62	31.38
Locus_129094	0	1.28	0.5	2.04	0
Locus_111432	0.12	0.15	0	0	0.37
ENSOANG00000002649	22.9	12.83	15.16	5.21	1.99
ENSOANG00000013947	50.84	23.52	59.39	87.14	41.68
ENSOANG00000006434	4.54	12.09	13.31	22.39	5.07
Locus_24842	0	0	0	0	2.79
ENSOANG00000014587	622.58	2906.87	1251.54	1213.02	460.07
ENSOANG00000013135	20.83	15.88	31.89	24.13	8.58
Locus_141938	1.19	0.26	0.18	0	0.05
ENSOANG00000020290	0	0	0	0	0.26
Locus_173298	0	0.23	0	0	2.66
ENSOANG00000008701	9.43	6.47	5.13	4.27	6.36
ENSOANG00000010781	32.16	17.75	41.38	34.41	75.22
ENSOANG00000004675	1.82	0.94	2.66	6.91	36.48
ENSOANG00000006640	14.9	25.81	13.11	5.79	18.11
ENSOANG00000020211	5.12	3.88	19.42	23.73	6.14
ENSOANG00000001098	67.27	55.5	53.21	73.47	99.65
ENSOANG00000013666	1.25	2.23	9.97	8.33	21.96
ENSOANG00000011657	230.36	707.75	905.42	626.2	643.19
ENSOANG00000010766	3.45	4.18	9.24	19.88	12.96
ENSOANG00000021422	0	0	0	0	0.12
blastnHuman.ENSG00000256560	0	0	0	0	0
ENSOANG00000014667	0.65	8.89	14.11	24.73	10.63
Locus_19032	0.73	0.44	0.2	0.75	1.6
Locus_14771	0	0.39	0	0.11	0.58
ENSOANG00000012498	0	0	0	0	0.05
Locus_159889	0	0	0	0	3.97
ENSOANG00000006855	1.63	0	0	0	1.67
ENSOANG00000008974	1.35	2.77	2.12	5.43	10.75
ENSOANG00000010379	0.56	5.39	0.8	1.14	28.1
ENSOANG00000003540	0.33	0.07	0.05	0.05	0.96
Locus_107753	0	0.17	0.92	2.32	0.27
ENSOANG00000000477	0.99	0.44	2.12	3.06	0.86
Locus_148336	0	1.66	4.2	1.93	0
ENSOANG00000020229	22.73	17.5	9.02	3.74	10.87
Locus_195583	0.11	0	0	0	63.34
ENSOANG00000002555	26.73	33.5	34.43	34.42	30.16
ENSOANG00000005213	67.8	42.25	44.58	53.22	44.9
ENSOANG00000009054	423.46	610.35	803.41	989.48	378.65
ENSOANG00000003280	0	0	0	0	0
ENSOANG00000021254	8.67	19.56	18.19	13.39	14.65
ENSOANG00000007046	0.05	0.03	0.05	0	4.78
ENSOANG00000007110	5.14	0.62	2.25	0.54	0.35
ENSOANG00000004697	12.75	18.7	8.79	2.3	36.02
Locus_130665	4.58	1.28	3.09	2.23	1.17
ENSOANG00000003998	7.69	0	0	0	64.01
ENSOANG00000009908	18.53	43.62	16.43	12.78	26.59
ENSOANG00000002683	200.24	205.4	110.95	124.85	97.39
ENSOANG00000013217	150.57	192.02	36.18	24.92	1737.4
Locus_131307	0.74	0.16	0.23	0.46	2.53
Locus_136157	0	0.67	0	0.93	0.36
ENSOANG00000013095	42.93	53.37	97.03	95.62	12.5
ENSOANG00000002143	17.05	17.13	11.87	15.25	56.91
ENSOANG00000000311	0.57	2.81	7.32	6.77	2.89
Locus_54234	0	1.24	3.07	1.03	0
ENSOANG00000009242	32.12	0.24	0	0.16	0.24
ENSOANG00000000203	1.72	13.3	42	99.17	2.17
ENSOANG00000012890	1.69	0.95	4.24	2.72	22.25
ENSOANG00000014111	4.49	16.47	15.77	13.62	3.64
Locus_89988	0.31	0.63	0.58	1.31	1.1
ENSOANG00000006224	6	5.67	7.38	10.56	6.83
ENSOANG00000002894	0.08	0	0	0	0.02
Locus_150950	0	0.52	0	0.18	1.16
ENSOANG00000015118	36.08	20.43	5.25	3.63	6.72
ENSOANG00000014255	3.59	4.85	15.2	10.24	35.96
ENSOANG00000007569	0.81	0	0.09	0.37	5.39
ENSOANG00000008490	119.08	46.39	19.44	11.89	11.79
ENSOANG00000012483	34.09	36.52	62.27	78.48	44.74
ENSOANG00000011123	127.38	108.7	16.39	29.93	101.88
ENSOANG00000002168	0	0	0	0	0
ENSOANG00000009995	0	0	0	0.06	0.1
ENSOANG00000005501	16.31	45.91	36.73	39.41	34.9
ENSOANG00000007830	9.79	7.84	9.5	8.64	7.56
Locus_78045	0	0	0	0	1.07
ENSOANG00000009214	53.94	31.87	82.91	114.39	70.85
ENSOANG00000010452	0	0	0	0	0
ENSOANG00000009660	14.57	17.8	8.73	8.93	44.24
ENSOANG00000000454	4.94	3.57	7.17	4.2	3.77
Locus_171702	0	2.73	1.2	2.47	0.03
ENSOANG00000005751	0.33	0.44	4.45	0.76	0.62
Locus_946	0	0.47	0.65	0	0.57
Locus_66567	0.13	0	0	0	1.62
ENSOANG00000013630	278.48	4146.29	1954	8009.88	43.67
ENSOANG00000015432	7.62	3.74	4.8	3.28	3.44
ENSOANG00000008744	1.3	87.39	33.93	6.25	0.11
Locus_165880	0	0	0.15	0	45.13
ENSOANG00000009351	1.95	8.43	2.94	2.35	6.71
ENSOANG00000006021	14.09	43.83	16.7	14.58	58.58
Locus_196641	0	0.67	0.93	1.25	0
ENSOANG00000011521	0	0	0.13	0.13	335.38
ENSOANG00000005428	28.18	0	0	0	0
ENSOANG00000000338	0.16	2.27	6.25	2.41	0
ENSOANG00000008987	15.59	18.37	32.52	30.03	13.38
Locus_175396	0	0.07	0.18	0.18	120.85
ENSOANG00000009404	0.55	0.37	0.25	0.51	0
ENSOANG00000010491	4.55	0.13	0.25	0	0.68
ENSOANG00000011638	0.29	0.59	1.28	1.97	0.16
ENSOANG00000013234	12.02	38.15	22.43	11.06	92.48
ENSOANG00000010859	9.12	1.81	3.78	2.03	0.05
ENSOANG00000015550	46.41	332.95	156.59	48.44	130.1
Locus_88212	0	0	0	0	1.08
Locus_164346	0.66	0	0	0.08	0.89
ENSOANG00000012660	2.77	3.88	5.48	2.86	16.31
ENSOANG00000013776	55.58	90.91	43.83	59.86	173.2
ENSOANG00000001155	0.64	0.29	4.13	4.88	0.17
ENSOANG00000004428	0	20.34	9.48	6.54	13.63
Locus_173947	0	1.18	0.65	1.8	0.57
ENSOANG00000015484	7.47	73.54	26.15	52.48	59.59
ENSOANG00000012027	11.02	17.61	14.7	8.84	21.27
ENSOANG00000006207	0.07	0.45	0.37	2.11	0
ENSOANG00000008048	15.06	309.11	58.94	114.62	201.46
Locus_133114	0	0.41	0	0.76	0.77
Locus_162314	15.77	6	0.15	0	3.03
ENSOANG00000004999	9.64	12.6	14.5	24.2	19.86
ENSOANG00000013672	0	1.36	1.46	2.03	7.13
ENSOANG00000012788	11.5	0.97	0.35	0.56	1.72
ENSOANG00000012834	2.99	13.98	5.19	1.99	4.33
Locus_128955	1.09	1.45	0.91	0.93	4.25
CUFF.48209	0.28	0.09	1.79	3.49	0
ENSOANG00000006103	7.9	14.72	8.54	3.49	16.26
Locus_98584	0.23	0	0.42	0	0.18
ENSOANG00000001069	32.63	1.17	1.24	1.28	14.21
Locus_24404	0	0.15	0	0.14	1.34
Locus_158805	0	0.45	0	0	0.73
ENSOANG00000015450	23.59	30.67	19.69	21.49	26.21
ENSOANG00000006933	0.18	0.24	0.89	0.73	0.49
ENSOANG00000003234	3.03	3.75	8.75	7.41	3.75
ENSOANG00000000524	2.79	3.37	3.89	2.3	6.16
CUFF.173639	0	0.16	0	0.11	2.08
ENSOANG00000010025	2.97	32.51	14.02	15	37.97
Locus_105481	0	0.88	0.3	0	0
ENSOANG00000006765	87.44	180.4	132.51	123.71	46.71
ENSOANG00000020977	28.32	17.44	4.03	6.28	23.61
Locus_81150	0	0	0	0	1.88
ENSOANG00000009964	0	0.19	0.07	5.88	0.39
ENSOANG00000021001	5.19	2.35	3.23	0.38	0.45
ENSOANG00000000280	97.11	265.65	198.56	242.19	193.48
ENSOANG00000008685	5.77	2.85	2.77	2.06	0.68
Locus_192486	0.44	2.1	1.27	1.87	3.3
ENSOANG00000003757	11.52	2.57	5.02	10.03	2.04
ENSOANG00000005104	216.09	9.42	2.44	3	0.59
Locus_91207	0	0.73	3.03	9.18	8.3
ENSOANG00000000210	0	0	0	0	0
ENSOANG00000009841	9.1	6.57	5.47	5.57	9.47
Locus_170441	1.13	3.01	0.35	0.35	5.48
ENSOANG00000006485	6.34	0.49	0.16	0.11	0.09
ENSOANG00000006556	11.23	21.29	22.68	30.16	22.55
Locus_7641	1.24	0.5	0.68	0.35	0.54
Locus_181316	0	0.96	0.66	0	1.36
Locus_94100	0	0	0	0	0.74
ENSOANG00000013529	42.17	8.24	32.99	63.54	23.74
Locus_68644	0.86	1.44	0.46	0.53	9.1
ENSOANG00000008640	0	1.43	1.65	4.29	0
Locus_52197	0	0.32	0.29	0	0.17
Locus_66178	0	0	0	0	0.55
ENSOANG00000012757	0.38	0.58	0.11	0.35	0
ENSOANG00000005285	15.29	20.99	10.01	6.69	20.81
ENSOANG00000015159	3.47	5.17	6.9	2.44	1.03
Locus_173334	0	0.11	0	0	7.61
Locus_188968	0	0	0	0	4.97
ENSOANG00000021135	0.42	1.21	0.11	1.06	1.01
Locus_49250	0	0	0	0	1.09
ENSOANG00000007692	220.08	26.66	22.33	20.85	5.47
ENSOANG00000012012	6.77	27.75	10.05	4.3	32.69
ENSOANG00000001710	59.77	90.11	73.57	98.43	48.12
Locus_78478	0	0.04	0.06	0.64	34.23
ENSOANG00000020883	34.72	120.52	16.54	16.72	22.99
ENSOANG00000014300	0	0.82	0.8	0.93	0.9
ENSOANG00000008780	4.76	6.02	3.72	5.53	1.76
ENSOANG00000002223	0.08	104.42	171.34	420.66	0.24
Locus_135014	0	0.1	0.27	0.27	0.48
ENSOANG00000014691	4.98	8.84	11.73	5.59	30.02
ENSOANG00000014677	0	0.47	0.09	0.27	0.53
ENSOANG00000021218	2.54	8.3	4.65	1.92	6.71
ENSOANG00000004106	0	3.19	1.08	6.89	2.42
ENSOANG00000001645	33.02	29.66	44.19	73.86	67.46
ENSOANG00000008813	2.34	14.7	15.64	28.25	1.75
ENSOANG00000013751	0.02	0.1	0.1	0.25	0.16
ENSOANG00000020300	0	0	0	0	0
ENSOANG00000007960	0	0	0	0	0
ENSOANG00000007001	14.9	42.64	34.28	31.97	10.7
ENSOANG00000012969	13.51	8.42	14.17	23.69	15.18
ENSOANG00000022637	0	1.71	5.76	7.77	1.76
Locus_157071	0	0	0	0	0.39
ENSOANG00000010586	7.57	9.79	17.25	33.89	12.54
Locus_127432	0.32	0.21	0.58	0	0.17
ENSOANG00000001174	0.74	0.36	0.82	0.14	0.72
ENSOANG00000012185	28.07	24.32	13.05	5.68	21.96
ENSOANG00000001728	547.64	190.71	150.21	277.85	1804.11
CUFF.122707	4.59	0.29	0	0	0.24
blastnPan.CUFF.122476	0	0	0	0	0
ENSOANG00000004945	1.51	3.86	7.22	3.97	9.61
Locus_97587	0.23	1.37	0.84	2.96	0.12
ENSOANG00000007350	2.05	4.23	17.73	27.98	5.1
ENSOANG00000013058	3.2	3.09	9.71	21.53	3.28
ENSOANG00000022554	2.8	32.19	9.89	15.55	2.15
Locus_114997	0	0	0	0	4.02
ENSOANG00000009655	8.39	9.1	4.99	2.2	5.58
ENSOANG00000011796	17.76	24.99	19.35	17.75	22.6
blastnMouse.ENSMUSG00000085923	0	0	0	0	0
ENSOANG00000015403	11.83	23.66	21.06	19	35.36
Locus_52500	0	0	0	0	6.73
ENSOANG00000002940	4.97	3.1	1.7	1.63	0.78
ENSOANG00000009009	122.63	44.36	171.77	341.15	45.27
ENSOANG00000000509	9.7	4.85	5.99	9.96	3.28
ENSOANG00000021973	1.49	1.72	1.64	2.08	2.28
ENSOANG00000008552	35.19	81.4	14.15	16.96	107.3
ENSOANG00000009040	17.57	7.81	3.06	1.35	16.14
ENSOANG00000005431	0	0	0	0	0
blastnOpossum.Locus_232043	0	0	0	0	0
ENSOANG00000011046	0	0	0.23	0.15	0.04
blastnMouse.CUFF.203631	0	0	0	0	0
ENSOANG00000002535	281.17	79.72	26.67	27.16	236.7
ENSOANG00000001429	13.11	10.76	9.36	4.79	11.37
ENSOANG00000015782	359.53	396.26	311.21	545.83	443.62
Locus_23655	0	0	0	0	3.56
ENSOANG00000003535	0.88	0.39	0.07	0.2	0.32
ENSOANG00000002215	26.77	0.27	0.55	0.56	0.43
Locus_7914	0	0.17	0	0.24	2.77
ENSOANG00000006687	3.9	12.88	5.18	2.09	14.74
ENSOANG00000011235	0.05	0.03	0.02	0.02	0
blastnMouse.ENSMUSG00000087563	0	0	0	0	0
Locus_88104	0	5.49	1.63	3.06	0
Locus_14580	0	0.98	0	0.34	0.99
ENSOANG00000015761	1.22	6.29	15.72	17.19	1.41
CUFF.69664	1.04	2.63	0.38	0.39	0.22
Locus_108429	0.25	0.16	0.45	0.23	0
ENSOANG00000011207	0.8	97.83	45.06	20.77	2.42
ENSOANG00000007464	1.45	0.04	0.06	0.06	0.07
Locus_121366	0	1.35	0.51	0.68	0
ENSOANG00000008699	0.8	6.09	9.36	3.36	0.71
Locus_181089	1.14	1.31	0.45	0.15	0.09
ENSOANG00000014282	72.57	0.2	0	0.06	0.09
ENSOANG00000003684	100.29	115.85	98.58	39.57	48.46
ENSOANG00000006950	20.15	20.36	25.68	34.65	36.83
Locus_4662	2.01	0	0.08	0.08	0
ENSOANG00000020367	0	0	0	0	16.64
ENSOANG00000002912	57.36	42.77	49.43	58.94	29.05
ENSOANG00000003824	4.5	0	0.23	0.7	0
ENSOANG00000010062	0.05	0.71	4.04	0.47	0.48
Locus_99361	0	0	0	0	0.75
Locus_180927	0.3	0.82	0.23	1.46	0.32
ENSOANG00000004270	0.23	0	0	0	0.08
ENSOANG00000020728	1.47	3.52	3.99	3.68	3.37
ENSOANG00000010030	10.18	12.8	5.7	0.7	0.61
Locus_181042	0	0.71	0.28	0.28	0
CUFF.150319	0	0	0	0	0
Locus_161744	0.26	0.68	0.23	0.24	0.55
Locus_159123	0	0	0	0	1.42
ENSOANG00000008540	27.54	34.92	21.81	18.27	23.14
ENSOANG00000021231	10.97	18	32.99	16.51	19.05
Locus_133876	0	0	0	0	1.62
Locus_68994	0	0.22	0.31	1.56	0
ENSOANG00000007422	242.3	61.7	12.38	6.21	139.73
blastnOpossum.Locus_316949	0	0	0	0	0
ENSOANG00000005489	56.98	70.16	111.93	179.89	156.24
Locus_117558	0.15	0.92	3.64	0.42	0.08
Locus_95302	0	0.25	0.17	0.34	10.27
ENSOANG00000015545	22.99	33.34	15.17	17.25	4.17
Locus_149867	6.19	20.03	42.55	21.73	1.24
ENSOANG00000012449	448	102.5	320.93	422.71	208.49
blastnMouse.ENSMUSG00000087475	0	0	0	0	0
ENSOANG00000013600	0	0.03	0.03	0.12	19.18
ENSOANG00000010887	18.72	20.84	25.13	36.38	345.48
Locus_141910	0.24	0.02	0.03	0	2.42
ENSOANG00000013868	0	0	0	0.08	0.09
Locus_109809	0	1.59	2.3	2.32	1.96
ENSOANG00000013576	75.37	62.22	98.78	126.64	142.73
ENSOANG00000007794	0	0	0	0	5.04
Locus_7581	0.29	0.2	0	0	1.26
ENSOANG00000003973	0	0	0	0	0.1
ENSOANG00000021087	0	0	0	0	0
Locus_191868	0	0	0	0	1.17
ENSOANG00000007823	2.63	3.9	14.24	28.35	2.45
blastnOpossum.Locus_188394	0	0	0	0	0
Locus_8846	0	4.74	3.34	7.72	1.59
ENSOANG00000020014	3.19	4.48	20.36	18.47	1.17
ENSOANG00000004863	117.44	213.92	916.31	1120.14	229.13
CUFF.95092	9.46	9.51	9.2	24.33	3.02
ENSOANG00000021896	222.12	100.27	265.91	185.58	5.27
ENSOANG00000012822	2.19	1.03	6.62	4.23	0.89
ENSOANG00000001327	4.28	10.32	16.56	21.03	7.27
ENSOANG00000011461	11.7	10.26	12.67	16.03	12.89
Locus_72864	5.1	0	0	0	0
ENSOANG00000001125	27.22	75.95	50.68	58.99	25.26
Locus_57943	0.49	0	0	0	1.2
ENSOANG00000022335	0	0.39	0	0.27	0
ENSOANG00000014023	15.05	43.12	47.63	54.16	77.3
ENSOANG00000007590	5.43	45.76	72.19	105.5	12.21
ENSOANG00000020339	99.35	74.82	65.2	77.05	77.83
ENSOANG00000021634	10.09	1.5	2.92	3.44	0.79
ENSOANG00000015127	15.7	8.9	4.79	2.82	7.76
Locus_5601	0	0.51	0.7	0.36	0
ENSOANG00000008773	0	0.23	0.81	0.57	0.05
ENSOANG00000021226	40.83	67.83	25.16	24.18	28.1
ENSOANG00000010222	748.16	542.14	255	177.36	759.68
ENSOANG00000011676	0	0.05	0	0.06	0.04
ENSOANG00000009396	3.74	3.03	7.26	3.87	4.67
ENSOANG00000003135	6.37	15.38	22.99	25.17	52.04
ENSOANG00000020048	0.1	6.12	3.04	1.99	3.53
ENSOANG00000001951	0.1	0.07	0.51	0.74	3
ENSOANG00000021245	0	2.27	5.26	0.51	0.44
Locus_96903	0	4.25	1.35	5.01	0
ENSOANG00000014401	2.11	3.25	2.53	7.68	1.49
ENSOANG00000015808	59.33	111.86	38.58	44.17	199.69
ENSOANG00000005044	5.13	0.45	0.67	0.82	0.34
ENSOANG00000009722	1.24	27.95	7.42	2.88	5.99
Locus_111968	2.84	0.47	0.33	0	0.67
ENSOANG00000012048	52.43	54.22	32.38	46.09	103.53
ENSOANG00000022004	134	39.48	49.93	68.79	152.82
ENSOANG00000009747	1.58	3.27	0	0	8.36
ENSOANG00000014946	4.8	17.15	23.79	23.87	99.75
ENSOANG00000019801	0	0	0	0	0
blastnOpossum.Locus_33723	0	0	0	0	0
ENSOANG00000010658	8.61	40.21	31.29	16.99	41.78
ENSOANG00000001431	2.18	8.79	8.65	14	2.46
ENSOANG00000008437	16.39	47.83	5.5	8.01	1137.36
ENSOANG00000014270	10.53	20.35	14.79	12.54	24.4
ENSOANG00000009150	19.71	17.97	16.41	18.41	14.21
ENSOANG00000006180	69.91	34.01	16.5	25.1	281.05
ENSOANG00000020871	0	0	0	0	0
Locus_80579	1.75	0.97	0.53	0.54	0.24
ENSOANG00000010412	7.27	13.34	24.16	19.06	19.46
ENSOANG00000015156	16.96	396.62	1541.97	1623.03	135.38
ENSOANG00000020830	4.59	10.51	3.17	1.67	37.78
ENSOANG00000000382	103.46	101.96	19.36	22.75	43.2
ENSOANG00000013519	160.29	101.72	136.58	189.56	64.82
ENSOANG00000001506	0	4.38	1.63	4.65	19
Locus_28184	0	1.92	0.46	1.75	6.39
Locus_150923	0.12	3.91	0.74	1.56	0.81
Locus_94097	0	0	0	0	4.17
ENSOANG00000004625	7.29	19.32	16.36	16.2	15.69
ENSOANG00000001110	0	0	0.13	0.2	0
CUFF.181020	4	0	0.17	0.17	0.1
Locus_16143	0.73	0	0.1	0	0.28
ENSOANG00000007530	53.09	90.14	34.3	26.78	29.8
ENSOANG00000003947	9.81	72.55	23.57	60.42	11.38
ENSOANG00000001305	2	54.96	68.51	297.95	2.4
ENSOANG00000010134	13.77	14.14	13.7	14.7	22.57
ENSOANG00000011439	75.16	77.03	62.86	23.09	47.15
ENSOANG00000015813	17.8	22.66	33.32	12.12	2.54
ENSOANG00000022710	0.89	0.8	1.86	1.06	1.54
ENSOANG00000009860	1.27	14.91	9.32	5.82	12.52
Locus_95718	0	0	0	0	2.41
ENSOANG00000007867	0.81	2.43	0.65	0.75	0.71
ENSOANG00000010715	0	0	0	0.39	0
blastnHuman.ENSG00000249519	0	0	0	0	0
Locus_137197	0.12	0.04	0	0	142.11
ENSOANG00000011419	179.93	45.06	19.09	9.56	34.04
ENSOANG00000008237	17.78	8.77	6.46	6.08	10.05
ENSOANG00000012861	0.04	0	0	0	40.45
Locus_166936	0.11	0.07	0	0.3	0.23
ENSOANG00000007495	16.89	10.49	3.92	4.42	64.96
ENSOANG00000009272	0.8	1.32	0.26	0.81	1.13
ENSOANG00000013071	1.99	1.36	0.73	1.13	0.46
ENSOANG00000011666	6.1	0.04	0.06	0	0.13
ENSOANG00000012144	20.51	36.3	15.05	30.75	486.59
ENSOANG00000002655	0	0	0	0	0.02
ENSOANG00000003477	0	0	0	0	0
ENSOANG00000007079	106.5	101.72	64.95	49.05	216.43
Locus_84284	0	0	0	0	4.61
ENSOANG00000004895	5.89	7.67	59.38	24.06	17.01
ENSOANG00000000891	24.43	26.7	7.09	7.4	20.22
Locus_44662	0	0	0	0	40.13
ENSOANG00000021855	52.43	80.62	74.46	32.82	64.56
Locus_125599	0.1	0	0.03	0	30.29
Locus_189506	0	0	0.06	0.06	6.64
ENSOANG00000003419	0	0	0	0	0.1
ENSOANG00000000572	20.81	5.46	5.29	3.11	5.66
ENSOANG00000010042	14.52	24.69	12.63	10.2	5.46
ENSOANG00000011009	103.67	40.95	43.08	79.33	45.92
Locus_88171	0	1.86	0.51	1.82	0
ENSOANG00000013969	10.4	21.34	7.47	4.9	4.62
ENSOANG00000004014	1.03	1.6	3.93	8.06	0.23
ENSOANG00000000884	155.3	36.88	16.9	18.65	54.34
ENSOANG00000001458	9.32	39.1	31.05	47.15	43.73
ENSOANG00000013707	0	0	0	0	0
ENSOANG00000007902	167.32	0.15	0.49	0.35	0.29
CUFF.149824	0.28	0.19	0	0.26	0
ENSOANG00000005390	25.74	11.13	17.94	20.4	18.5
ENSOANG00000007563	52.07	0.97	4.19	2.07	6.13
ENSOANG00000002633	11.93	36.92	18.54	15.37	11.47
ENSOANG00000006423	3.88	7.09	8.92	8.16	3.03
ENSOANG00000015650	21.91	41.65	26.98	52.44	33.62
Locus_14879	0	0	0	0	23.54
ENSOANG00000011214	7.7	2.08	0.33	0.56	3.84
ENSOANG00000014454	0.5	0.21	0.07	0	0
ENSOANG00000005125	0	0	0	0	0
Locus_178207	0.07	0.05	0.26	0.2	0.46
