Gene	Brain_Female1	Brain_Male1	Brain_Male2	Cerebellum_Female1	Cerebellum_Male1	Heart_Female1	Heart_Male1	Kidney_Female1	Kidney_Male1	Liver_Female1	Liver_Male1	Testis_Male1	Testis_Male2
blastnHuman.Locus_24871	0	0	0	0	0	0	0	0	0	0	0	1.19	0
Locus_314882	0.18	0	0	0.12	0	0	3.97	0.26	0.26	10.55	7.34	0.18	0
ENSMMUG00000030744	6.82	6.44	5.86	1.9	5.2	10.67	15.91	5.55	1.83	7.9	9.79	11.82	5.77
blastnPan.CUFF.153639	0	0	0.23	0	0	0	0	0	0	0	0	0.24	0.38
ENSMMUG00000006243	0.1	0.23	0.4	0	0.03	0.06	0.09	0.05	0.05	0	0	39.53	50.31
ENSMMUG00000013331	30.52	29.02	42.73	20.23	19.4	58.02	47.9	37.77	33.09	38.88	23.36	63.29	66.44
blastnPan.Locus_137625	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000022128	1.6	2.04	1.85	3.09	2.6	1.8	1.05	1.04	2.18	1.31	0.89	1.05	0.56
ENSMMUG00000029290	0	0	0	0	0	0	0	0	0	0	0	0	0
blastnHuman.Locus_159237	0	0	0	0	0	0	0	0	0	0	0	0.05	0.17
Locus_209734	0	0.09	0	0.21	0	0	0	0	0	0	0	0.6	0.76
blastnMouse.ENSMUSG00000090664	1.22	0.37	0	0	0	0	0	0	0	0	0	0.24	2.32
ENSMMUG00000008587	19.47	20.44	23.3	37.58	30.04	33.79	25.04	1.97	2.09	7.19	3.15	1.69	1.15
ENSMMUG00000017797	16.94	20.32	16.95	15.67	19.6	23.59	25.65	15.05	19.03	15.06	26.78	14.37	7.54
ENSMMUG00000031992	0.51	0	0.39	0.35	0	1.72	0.67	0	0	0	0.64	0	0
ENSMMUG00000010755	3.6	7.12	9.91	1.95	1.17	6.08	6.38	2.79	5.05	25.42	10.97	2.83	2.15
blastnHuman.ENSG00000253508	0	0	0	0	0	0	0	0	0	0	0	1.44	1.3
ENSMMUG00000008331	15.91	21.07	22	26.13	47.24	9.92	31.63	87.31	95.67	60.45	245.81	30.01	14.54
Locus_371044	0	0	0	0	0	0	0	0	0	0	0	3.89	1.2
ENSMMUG00000013915	0.64	0.68	0.74	0.22	0.51	11.37	9.24	4.45	0.23	5.01	1	0.8	0.61
ENSMMUG00000006973	2.35	2.16	1.37	2.32	2.32	3.77	2.18	3	3.48	1.17	1.22	5.57	9.09
blastnOpossum.Locus_317445	0	0	0	0	0	0	1.39	0	0	0	0	0.43	1.34
ENSMMUG00000015309	0.35	0.21	0	0.72	0.56	0	1.38	0	1.02	2.31	6.14	338.18	269.41
ENSMMUG00000012921	6.85	6.46	4.54	9.35	5.73	6.29	3.95	6.33	3.41	4.96	4.38	11.44	17.89
blastnGorilla.Locus_135170	0	0.24	0	0.91	0.63	0	0	0.39	0	0	0	0.32	0
Locus_100696	0	0	0	0	0	0	0	0	0	0	0	0.55	0
blastnHuman.ENSG00000236376	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000018724	0	0	0	0	0	0	0	0	0	0	0	0.54	0.31
blastnHuman.CUFF.121101	0	0	0	0.37	0.22	0	0	0	0	0	0	0.05	0
ENSMMUG00000011300	0	0	0	0	0	0	0	0	0	0	0	0.42	0.21
ENSMMUG00000013003	2.75	3.46	2.87	3.63	3.52	2.17	2.47	3.36	3.65	3.85	5.96	15.31	19.08
blastnHuman.ENSG00000228351	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000016339	48.09	60.27	66.1	27.55	45.95	10.94	19.93	13.49	7.57	4.92	13.38	30.06	32.06
ENSMMUG00000000901	0.34	0.1	0	0.23	0	0	0.89	1.99	0	2.24	0	10.46	26.35
ENSMMUG00000012653	0	0.07	0	0	0	0	0	0	0	0	0	0.34	0.14
ENSMMUG00000005791	0.36	0.71	1.61	0.14	0.33	3.17	1.78	0.99	0.08	0.43	0.13	3.99	7.4
