Gene	Brain_Female1	Brain_Female2	Cerebellum_Female1	Cerebellum_Male1	Heart_Female1	Heart_Male1	Kidney_Female1	Kidney_Male1	Liver_Female1	Liver_Male1	Testis_Male1
ENSGGOG00000008845	27	29	19	15	40	33	103	165	104	281	95
ENSGGOG00000024064	1066	2096	520	401	292	179	1122	1018	630	985	12014
ENSGGOG00000015829	633	1521	553	242	156	56	283	253	200	163	896
blastnPan.CUFF.167073	0	0	0	0	0	0	0	0	0	0	1
Locus_227101	0	2	1	0	0	1	0	0	7	4	12
blastnHuman.XLOC_013947	0	0	0	0	0	0	0	0	0	0	1
ENSGGOG00000008344	737	1464	414	221	132	105	776	1127	838	930	5130
ENSGGOG00000007375	1	4	1	0	0	0	6	3	4	6	29
ENSGGOG00000024959	0	0	0	0	0	0	1	1	1	2	2
ENSGGOG00000006783	323	1094	72	108	348	130	94	181	6	6	118
ENSGGOG00000012304	75	169	65	33	77	26	33	85	46	87	133
ENSGGOG00000026995	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSGGOG00000001935	718	1884	756	371	513	287	579	624	500	539	1729
ENSGGOG00000003499	0	1	0	0	0	0	0	0	0	1	3
blastnHuman.ENSG00000234689	0	2	0	2	1	0	0	2	0	1	8
ENSGGOG00000028137	172	414	145	74	122	71	184	344	300	315	791
blastnMacaque.Locus_473571	2	0	0	0	0	0	0	0	0	0	0
blastnHuman.XLOC_014088	0	0	0	0	0	0	0	0	0	0	0
blastnPan.CUFF.346184	1	5	1	2	0	0	0	0	0	0	0
blastnMacaque.Locus_61320	0	0	0	0	0	0	0	0	0	0	0
blastnMacaque.Locus_60798	1	1	0	0	0	0	0	0	0	0	0
blastnPan.CUFF.165338	1	1	1	1	0	0	0	0	0	0	10
ENSGGOG00000010428	285	530	174	59	92	42	143	118	115	131	984
ENSGGOG00000003661	284	662	64	47	1149	962	613	645	1067	2249	2709
ENSGGOG00000016037	0	0	0	0	0	0	0	1	0	0	2
Locus_353254	0	0	0	2	0	2	1	0	0	0	3
ENSGGOG00000010211	481	1166	553	249	268	105	282	292	340	188	418
blastnHuman.CUFF.167767	0	0	1	0	0	0	3	0	6	1	1
blastnOrangutan.CUFF.227121	1	2	3	4	0	0	0	0	1	0	4
ENSGGOG00000011319	8405	18979	5751	1268	10164	4287	38	10	690	19	75
blastnMacaque.Locus_371508	0	0	0	0	0	0	0	0	0	0	0
ENSGGOG00000008849	200	664	325	315	32	26	164	226	184	320	3288
ENSGGOG00000001112	30	145	90	98	10	28	249	384	655	1091	1682
Locus_257472	1	15	7	1	0	0	0	1	0	1	3
Locus_417253	0	0	0	0	0	0	4	9	0	0	9
blastnHuman.ENSG00000232504	6	18	3	3	0	1	0	1	0	2	16
Locus_106219	0	0	0	0	0	0	0	0	0	0	24
ENSGGOG00000003756	53	131	149	44	12	29	83	75	36	140	307
ENSGGOG00000006675	241	625	185	55	101	87	153	135	133	186	155
ENSGGOG00000002067	0	0	0	0	0	0	0	0	0	0	0
