Gene	Brain_Female1	Brain_Male1	Cerebellum_Female1	Heart_Female1	Heart_Male1	Kidney_Female1	Kidney_Male1	Liver_Female1	Liver_Male1
blastnHuman.Locus_103212	0	0	0	0	0	0	0	0	0
blastnGorilla.Locus_195309	0	0	0	0	0	0	0	0	0
blastnHuman.XLOC_013947	0	0	0	0	0	0	0	0	0
blastnGorilla.Locus_95094	0	0	0	0	0	0	0	0	0
blastnGorilla.Locus_463636	3	2	1	1	0	2	1	0	1
ENSPPYG00000004071	326	185	210	10	1	0	0	0	0
ENSPPYG00000015347	400	236	171	544	234	2034	2678	2155	2895
ENSPPYG00000004885	15	22	12	8	1	15	9	1613	1478
ENSPPYG00000009813	315	186	24	72	16	67	26	53	64
ENSPPYG00000009546	11	3	9	27	7	15	6	3	19
ENSPPYG00000017677	441	233	149	122	117	506	509	485	200
ENSPPYG00000005332	93	27	74	79	24	55	79	52	82
blastnHuman.ENSG00000234689	0	0	2	0	0	0	0	0	0
ENSPPYG00000010714	90	41	43	29	5	32	34	36	30
blastnMacaque.Locus_473571	1	0	0	0	0	0	0	0	0
blastnPan.CUFF.346184	0	0	1	0	0	0	0	0	0
blastnHuman.XLOC_014088	0	0	0	0	0	0	0	0	0
ENSPPYG00000017959	915	546	579	542	124	406	673	334	452
ENSPPYG00000001628	77	59	27	71	23	96	235	142	230
blastnMacaque.Locus_61320	0	0	0	0	0	0	1	1	0
blastnGorilla.Locus_318804	0	0	0	0	1	0	1	0	0
blastnMacaque.Locus_60798	0	0	0	0	0	0	0	0	0
ENSPPYG00000011607	121	75	24	13	8	8	5	5	10
blastnPan.CUFF.165338	0	0	1	0	0	0	0	0	0
ENSPPYG00000010237	1971	1451	722	5	4	69	61	28	27
ENSPPYG00000017921	127	54	158	139	30	39	41	21	50
blastnHuman.CUFF.167767	0	0	0	0	0	0	0	0	0
blastnGorilla.Locus_441811	0	0	0	0	0	0	0	0	0
blastnGorilla.Locus_442279	0	0	0	0	0	0	0	0	0
blastnGorilla.Locus_17783	0	0	0	0	0	0	0	0	0
blastnMacaque.Locus_371508	0	0	0	0	0	0	0	0	0
ENSPPYG00000020705	3	1	0	1	0	1	0	1	0
blastnHuman.ENSG00000232504	0	0	3	0	0	0	0	0	0
ENSPPYG00000019716	212	116	99	64	37	42	70	16	34
blastnOpossum.Locus_88135	0	0	0	0	0	0	0	0	0
ENSPPYG00000003730	0	0	1	0	0	2	0	0	0
ENSPPYG00000000400	0	0	0	0	0	0	0	0	0
ENSPPYG00000016190	229	67	183	1489	498	833	1939	940	2550
ENSPPYG00000016062	75	63	0	4	1	0	3	2	229
ENSPPYG00000007961	77	25	93	127	98	36	77	6	43
ENSPPYG00000006962	360	191	194	152	96	454	527	350	345
ENSPPYG00000003552	0	0	0	0	0	0	0	0	0
ENSPPYG00000004786	1486	490	579	1152	409	666	1003	623	543
Locus_264990	2	0	0	0	0	0	2	1	4
ENSPPYG00000016734	26	8	42	196	73	2	7	2	18
Locus_87732	0	0	2	0	0	6	33	0	0
blastnMacaque.Locus_273998	0	0	0	0	0	0	1	1	0
blastnPan.CUFF.10415	0	0	0	0	0	0	0	0	0
ENSPPYG00000019904	190	80	386	284	242	113	160	54	298
ENSPPYG00000016188	0	0	0	0	0	5	25	0	0
blastnGorilla.Locus_292749	0	0	0	0	0	0	0	0	0
blastnGorilla.Locus_18301	0	0	0	0	0	0	0	0	0
ENSPPYG00000003432	143	87	170	204	59	146	215	207	267
ENSPPYG00000009941	0	2	0	0	0	3	0	1	4
ENSPPYG00000020044	0	0	0	0	0	0	0	0	0
ENSPPYG00000004452	86	32	125	83	20	67	76	28	85
ENSPPYG00000003981	2033	493	1628	99	31	763	506	369	1290
blastnGorilla.Locus_393600	0	0	0	0	0	0	0	0	0
ENSPPYG00000020380	78	22	60	8	9	33	41	19	242
ENSPPYG00000016546	451	193	469	538	165	355	497	428	867
ENSPPYG00000000715	1	0	2	15	1	8	3	16	6
blastnMacaque.Locus_427151	1	2	0	1	0	0	2	0	0
blastnMouse.Locus_52751	0	0	0	0	0	0	0	0	0
blastnGorilla.Locus_195167	1	0	3	1	0	1	0	1	1
blastnHuman.ENSG00000232876	0	0	0	0	0	0	0	0	0
ENSPPYG00000020233	70	40	84	58	26	48	51	35	43
ENSPPYG00000003616	0	0	0	0	0	0	0	0	0
ENSPPYG00000004957	0	0	0	38870	80497	16	0	0	0
ENSPPYG00000013892	171	31	74	921	394	184	219	400	896
ENSPPYG00000006256	0	0	0	0	0	0	0	3	0
blastnPan.Locus_61097	1	0	0	0	0	0	0	0	0
