Gene	Brain_Female1	Brain_Male1	Heart_Female1	Heart_Male1	Kidney_Female1	Kidney_Male1	Liver_Female1	Liver_Male1	Ovary_Female1	Ovary_Female2	Testis_Male1	Testis_Male2
ENSXETG00000011308	4936	4061	8200	7959	6002	5531	3946	4822	2961	2331	12139	4398
ENSXETG00000023722	1621	1237	758	891	1430	1209	733	954	3125	2635	3355	1119
ENSXETG00000021157	5	0	0	0	0	0	1	0	0	0	9	7
ENSXETG00000001097	0	0	0	0	0	0	0	0	0	0	0	0
ENSXETG00000015745	3636	4087	2461	2741	3323	2434	2074	2036	5758	8269	4045	2435
ENSXETG00000012498	0	0	6	3	34	31	10	3	0	0	3	16
ENSXETG00000003451	981	1236	616	431	931	774	584	498	1849	1797	983	379
Locus_144983	0	0	0	0	2	1	24	24	0	0	3	0
ENSXETG00000022132	1	8	20131	19970	2	23	12	17	0	0	3	4
ENSXETG00000011268	116	127	313	408	292	203	85	98	190	668	109	260
Locus_148221	0	0	0	0	0	0	0	0	0	0	9	2
ENSXETG00000026830	100	94	282	127	700	546	292	204	2579	2170	448	476
ENSXETG00000014925	456	463	239	177	802	533	267	280	1159	2412	846	1248
ENSXETG00000025029	0	0	0	0	2	0	1	0	420	10142	0	8
ENSXETG00000000908	5	0	0	0	2	0	0	0	0	0	4	0
ENSXETG00000033631	1622	930	756	755	70	164	0	1	0	2	57	82
Locus_182601	0	0	0	0	8764	11548	304	622	1	0	10	3
ENSXETG00000003653	12	9	5410	4419	3	5	6	11	0	2	27	79
ENSXETG00000023730	47	82	42	23	1037	985	22	18	0	2	21	22
ENSXETG00000025545	60	114	48	26	77	69	53	55	341	974	202	794
ENSXETG00000025660	2	10	0	0	169	137	2390	5615	4	1	104	100
ENSXETG00000032776	104	87	148	87	137	177	283	152	1565	2889	451	934
ENSXETG00000016299	219	257	266	241	598	479	201	222	2826	4162	1559	2974
ENSXETG00000032237	0	0	0	0	0	0	1	6	0	0	0	3
ENSXETG00000018453	468	532	346	135	998	680	905	843	2586	808	589	630
ENSXETG00000023839	623	395	1816	1145	706	486	184	127	401	1016	619	1363
ENSXETG00000020899	33	38	48	64	77	104	44	60	55	195	111	281
ENSXETG00000006627	1453	2414	42	40	10	18	1	7	0	57	44	246
ENSXETG00000007266	1149	1484	526	371	656	759	387	486	1623	954	508	670
ENSXETG00000025909	250	289	173	227	263	303	188	322	661	1132	674	568
Locus_135688	8	14	2	6	6	4	10	2	0	0	1	2
ENSXETG00000012450	19	26	21	46	67	79	23	47	43	135	78	390
ENSXETG00000005344	4380	6232	2	7	2	6	3	0	0	0	10	9
ENSXETG00000033897	220	241	2	2	1	2	3	3	11	6	31	39
ENSXETG00000031682	0	0	0	0	0	0	1	0	0	0	0	1
ENSXETG00000032125	0	0	0	0	0	0	0	0	0	0	1	0
ENSXETG00000016293	1	0	0	0	0	0	0	1	3	8	101	67
ENSXETG00000002514	115	96	549	583	54	95	7	1	349	237	392	427
ENSXETG00000011956	0	0	10	7	1	0	104	117	0	0	1	7
ENSXETG00000024699	1241	1505	2691	1957	36	94	27	32	0	0	21	12
ENSXETG00000005758	17	17	17	8	50	48	38	34	0	2	28	40
ENSXETG00000031920	0	0	0	0	0	0	0	0	0	0	0	0
ENSXETG00000025867	4	0	0	0	6	26	486	904	0	0	6	12
ENSXETG00000031892	0	0	0	0	0	0	0	0	0	0	1	0
ENSXETG00000020947	64	44	35	18	188	165	35	40	252	1025	262	546
ENSXETG00000030502	3	5	1	5	4	6	4	15	0	0	2	2
ENSXETG00000033247	1	0	0	0	1	0	0	0	1	11	1	21
Locus_105600	4	3	0	1	0	1	0	0	0	1	29	12
ENSXETG00000022670	329	441	5	0	3	4	33	13	1	1	2	13
ENSXETG00000010656	1510	1446	4736	4334	4573	5025	2459	4121	672	2951	2808	10197
ENSXETG00000015117	44	18	70	38	124	92	340	693	4	3	218	80
ENSXETG00000006633	365	285	496	532	746	886	557	759	2478	4231	884	910
ENSXETG00000020355	6074	5690	19512	21449	21682	22366	11994	19290	2099	6030	10126	16016
ENSXETG00000006226	2	0	1	0	26	0	5	3	5786	12160	28	65
ENSXETG00000027058	602	635	440	373	407	295	154	130	636	1240	330	475
ENSXETG00000027674	0	0	0	0	0	0	0	0	2	0	0	0
ENSXETG00000003972	118	137	442	815	224	268	55	97	301	748	158	290
ENSXETG00000024567	64	60	51	34	72	109	49	36	596	606	189	286
ENSXETG00000017729	19014	21645	21	13	30	221	0	91	2	1	80	23
ENSXETG00000030041	564	506	268	192	1253	757	486	361	720	1688	437	583
