Gene	Brain_Female1	Brain_Male1	Brain_Male2	Cerebellum_Female1	Cerebellum_Male1	Heart_Female1	Heart_Male1	Kidney_Female1	Kidney_Male1	Liver_Female1	Liver_Male1	Ovary_Female1	Ovary_Female2	Testis_Male1	Testis_Male2	Testis_Male3
ENSGALG00000008437	677	328	1555	533	436	761	455	5443	1699	281	244	32364	5406	1293	1425	4646
ENSGALG00000008739	372	327	1536	164	191	55	36	74	70	81	26	1575	485	289	728	2456
ENSGALG00000003200	13	9	17	12	38	6	12	26	20	2	3	288	202	3	0	3
ENSGALG00000016946	380	289	2078	283	547	452	416	460	473	726	357	13052	2126	755	2389	10260
Locus_88417	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2
Locus_4872	0	1	0	0	0	0	0	0	0	0	0	0	0	19	16	16
Locus_46389	2	2	2	1	2	1	0	2	1	0	0	6	0	7	11	9
ENSGALG00000004941	31	7	1	26	27	5	9	546	263	104	85	51	26	113	68	65
Locus_19400	0	0	0	0	0	0	0	0	0	0	0	18	5	0	1	3
ENSGALG00000002201	181	133	1204	379	253	75	61	719	540	26	28	71411	3113	83	103	949
ENSGALG00000009411	8	4	24	1	3	2	0	102	71	18	4	78	48	3	9	21
ENSGALG00000006447	152	95	165	23	47	82	87	144	84	17	30	304	359	10	22	32
Locus_126513	2	2	7	20	66	11	31	811	1226	0	0	7	4	5	6	12
CUFF.121281	0	0	0	0	7	0	1	0	0	0	0	0	2	0	2	3
ENSGALG00000008054	535	327	5728	563	586	491	281	764	317	970	491	26820	1567	224	664	5434
ENSGALG00000024219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSGALG00000021664	4	0	2	3	9	7	2	65	31	14	18	201	145	43	8	20
ENSGALG00000022978	9	2	9	5	3	6	0	3	9	0	0	28	7	20	42	376
ENSGALG00000000726	158	104	217	199	201	87	62	273	182	123	97	1495	664	134	146	470
ENSGALG00000015348	795	600	4156	698	703	70	44	115	93	120	26	2812	844	40	110	472
Locus_127094	1	0	2	0	0	0	0	0	0	0	0	2	0	0	1	7
ENSGALG00000004598	283	136	431	430	562	34	75	464	171	769	1187	265	6	250	126	266
ENSGALG00000010073	399	258	388	439	430	261	128	553	529	1149	1233	2638	1841	586	699	652
ENSGALG00000003193	16	14	69	1	1	10	5	4	3	3	3	29	39	317	254	877
Locus_98347	0	0	6	0	0	0	0	0	0	0	0	12	1	0	4	64
ENSGALG00000008063	116	74	69	15	26	4	1	28	9	3	6	40	23	49	10	11
ENSGALG00000005005	104	39	85	64	65	89	80	80	84	100	158	287	129	49	23	53
