Gene	Brain_Female1	Brain_Male1	Heart_Female1	Heart_Male1	Kidney_Female1	Kidney_Male1	Liver_Female1	Liver_Male1	Ovary_Female1	Ovary_Female2	Testis_Male1	Testis_Male2
ENSXETG00000016651	11.62	9.07	2.05	0.85	0.15	0.22	0.17	0.37	0.06	0.21	0.38	0.5
ENSXETG00000014192	34.15	21.35	54.1	50.22	76.79	56.42	55.61	53.56	6.82	5	21.05	6.55
ENSXETG00000022951	28.25	38.96	6.49	5.76	2.95	2.65	1.31	1.22	2.81	1.85	1.05	0.82
ENSXETG00000000972	15.48	12.69	75.32	59.9	8.74	9.59	4.89	6.21	17.15	9.92	10.73	5.58
Locus_20190	0.2	0	0	0	0.7	0.23	0	0	0	0	0.3	0.89
Locus_109761	0.48	0.09	0.88	0.49	5.06	2.05	0.78	1.33	0.06	0.02	18.42	13.14
Locus_178312	0	0.56	5.48	4.62	0.73	2.6	0.54	1.59	0.93	1.83	1.1	1.06
Locus_120827	0	0	0	0	0	0.12	0	0	0.28	0	9.4	3.54
ENSXETG00000025527	6.9	4.62	6.27	4.47	16.01	13.38	9.68	9.74	31.39	54.3	14.35	14.94
ENSXETG00000014356	5.32	4.2	18.23	15.16	32.94	19.32	17.69	17.15	3.22	1.54	31.75	23.31
Locus_53538	0.28	0.12	0	0.25	0	0	0	0.26	0.85	0	79.06	6.74
ENSXETG00000016091	9.57	11.14	14.23	16.89	11.28	11.64	13.19	18.84	28.87	46.39	11.84	15.06
Locus_131887	0.23	0.1	1.7	0.21	0.13	0.26	2.63	1.72	0	0	0.85	0.5
ENSXETG00000025181	0.14	0	0	0	1.21	2.28	0	0.13	0.02	0	0.15	0.28
ENSXETG00000005250	0.28	0.12	2.01	0.7	1.13	0.94	7.97	9.81	0	0.04	0.29	0.18
ENSXETG00000016213	0	0	0	0	0	0	0	0	0	0	0	0.05
ENSXETG00000025946	1.4	1.02	1.65	0.7	1.46	0.57	3.68	2.62	1.01	2.22	1.83	5.57
ENSXETG00000022230	2.5	1.75	4.34	9.24	3.65	5.07	6.95	7.37	6.84	13.34	2.98	5.06
