Gene	Brain_Female1	Brain_Male1	Brain_Male2	Cerebellum_Female1	Cerebellum_Male1	Heart_Female1	Heart_Male1	Kidney_Female1	Kidney_Male1	Liver_Female1	Liver_Male1	Ovary_Female1	Ovary_Female2	Ovary_Female3	Testis_Male1	Testis_Male2	Testis_Male3	Testis_Male4
Locus_97726	85	73	49	95	99	208	111	267	252	49	82	324	243	199	21	171	43	42
Locus_177779	0	0	0	0	0	0	0	0	0	0	0	421	20	80	0	0	0	0
ENSOANG00000005962	581	340	1009	359	239	545	443	232	207	232	224	636	276	181	113	297	176	573
ENSOANG00000011833	160	83	69	559	822	16	33	34	19	0	0	11	31	37	2	7	6	14
ENSOANG00000012362	17	13	624	2	38	30	4	1000	216	3425	2607	2970	9622	6719	6	28	86	23
Locus_35242	0	0	0	0	0	1	0	0	0	0	0	3	2	1	0	1	0	0
ENSOANG00000010908	352	336	435	233	322	351	431	117	220	136	139	372	281	401	63	528	172	677
ENSOANG00000012033	450	218	1278	292	202	5	3	301	647	722	410	834	406	338	588	1120	926	5893
ENSOANG00000003625	320	131	187	91	48	158	93	19	50	25	13	1740	1714	875	220	1131	294	2310
ENSOANG00000021282	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0
ENSOANG00000012628	39	30	120	34	22	11	9	5	5	5	2	5595	750	1108	261	961	435	3363
ENSOANG00000014732	3	4	4	8	13	1	0	4798	745	2819	539	33	13	21	1	21	2	1
ENSOANG00000014439	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSOANG00000009602	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	2	2
ENSOANG00000020748	24	26	37	6	13	1	6	35	59	3	0	71	59	76	214	536	302	830
Locus_57036	244	130	257	259	164	71	52	67	96	51	48	254	143	147	52	112	54	265
ENSOANG00000012515	7	3	4	2	2	1	1	0	2	5	2	10	29	27	1	10	5	10
ENSOANG00000000872	507	365	445	471	588	293	92	305	472	40	62	254	331	325	280	908	357	720
ENSOANG00000004240	991	510	387	1064	787	1566	1462	384	778	643	547	414	545	860	149	808	500	589
ENSOANG00000004655	41	48	185	9	10	10	9	408	547	1109	549	1469	321	533	2	29	2	111
Locus_179380	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	3	3	22
ENSOANG00000022028	1	1	8	0	1	0	0	0	0	0	1	14	6	6	5	32	12	178
Locus_179156	24	4	3	6	8	9	9	2	4	2	6	4	10	4	2	8	5	2
ENSOANG00000020960	11	11	44	44	16	38	81	1	12	6	11	39	20	15	3	13	1	26
ENSOANG00000007877	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSOANG00000007136	59	20	85	84	33	37	15	21	22	44	15	357	117	119	7	57	18	182
ENSOANG00000001407	40	7	206	29	26	136	106	5	9	6186	3042	8466	2772	3714	32	363	75	1091
ENSOANG00000012718	1801	1099	1567	1067	1159	1135	1018	537	898	781	481	1079	4100	5419	319	2178	787	3603
Locus_7571	0	0	2	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
