ENSEMBL ID	hM1	hM2	hM3	hM4	hM5	hM6
ENSG00000089123	3.4762699999999995	1.86579	8.06062	7.9389199999999995	1.5553	8.552610000000001
ENSG00000089127	1.56969	3.7912	119.01899999999999	0.0	0.0	44.4116
ENSG00000089154	105.53	101.329	91.459	136.477	48.341	67.1715
ENSG00000089157	2882.89	2703.76	2082.59	3834.37	2035.78	1961.33
ENSG00000089159	154.126	216.078	338.895	204.81799999999998	341.217	326.89099999999996
ENSG00000089169	0.0	0.741189	3.2021	0.0	1.23569	0.0
ENSG00000089177	13.0149	15.3897	18.6729	19.5056	9.28031	8.00509
ENSG00000089195	20.0751	24.6686	31.6046	91.3915	14.1817	22.0958
ENSG00000089199	0.761725	0.6132529999999999	1.5896299999999999	3.26173	7.1568	3.7481199999999997
ENSG00000089220	1451.75	1423.97	1481.74	1427.88	757.302	1329.65
ENSG00000089225	0.0	0.0	0.0	1.73153	1.35689	3.7307699999999997
ENSG00000089234	33.3391	60.0386	51.8759	83.4012	49.4586	26.9815
ENSG00000089248	193.93900000000002	126.471	349.415	199.30900000000003	145.773	152.687
ENSG00000089250	74.0607	84.7849	33.9487	16.8647	28.73	15.272
ENSG00000089280	222.407	289.245	543.781	433.912	335.61199999999997	429.005
ENSG00000089289	435.04900000000004	560.785	441.545	1235.82	389.287	467.911
ENSG00000089327	37.7933	0.0	35.0534	32.3664	0.0	15.497
ENSG00000089351	108.69	93.9071	124.16799999999999	222.49	110.303	135.878
ENSG00000089356	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000089472	0.5091319999999999	1.63958	21.9583	0.8720469999999999	0.0	1.25261
ENSG00000089486	114.08200000000001	93.6824	112.689	140.688	76.5613	98.2359
ENSG00000089505	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000089558	0.0	0.406942	1.05485	0.0	0.0	0.0
ENSG00000089597	45.1902	71.4948	206.89	113.40299999999999	62.771	62.0545
ENSG00000089639	0.66304	2.13521	29.9799	0.5678310000000001	0.8899440000000001	3.26253
ENSG00000089682	7.09598	13.058	16.2188	8.68149	4.081869999999999	9.97609
