TNMD	27
GEMIN5	105	
OPRK1	1	
NFE2L1	5680	
SEMA5B	18	
GSK3B	221	
ITGB5	442	
ERC1	195	
XPO1	541	
RNF13	308	
TRPM3	8	
PALB2	21	
DOPEY1	146	
LYRM2	153	
BCKDHB	85	
KAT6A	268	
ZCCHC6	109	
ULK2	181	
GRHL2	13	
TNPO1	265	
PLOD1	255	
ITGAE	45	
DIS3	162	
PIBF1	64	
TDRD3	69	
NUFIP1	27	
PDS5B	97	
OXCT1	361	
RRAGB	79	
EPYC	0	
CYLD	187	
SLC27A5	28	
ZNF324	39	
ZNF671	32	
ZNF416	17	
ZNF586	33	
ZNF446	43	
ZNF264	25	
RPS5	1156	
FAT1	224	
YTHDC1	352	
CHMP2B	146	
SMAP2	204	
PPIE	131	
ZMPSTE24	144	
STARD7	871	
NOA1	95	
REST	114	
HAL	25	
GSTP1	597	
APLP2	2030	
KIAA1467	77	
SLCO1A2	0	
WBP11	312	
NKAIN1	70	
COL16A1	235	
TXLNA	288	
APOB	15	
NCOA1	420	
AGBL5	139	
EFR3B	19	
KIF3C	54	
RAB10	793	
GCKR	0	
HADHA	1426	
MAPRE3	242	
CAD	107	
CD59	2085	
CD82	199	
ATRX	244	
TAF9	186	
FCN1	52	
MYNN	124	
MECOM	141	
PREP	214	
HACE1	53	
SEH1L	124	
WDR47	148	
WDFY1	136	
OVGP1	7	
SLC25A24	93	
PILRA	39	
IGSF9	1	
ABCB1	14	
ZNF213	102	
AKR1B1	543	
CPNE3	266	
RRN3	174	
WNT11	86	
MTIF2	136	
DDHD2	199	
TTC39A	20	
EPS15	443	
ORC1	0	
MGST2	108	
CHERP	230	
ATG16L1	108	
USP40	134	
POMGNT1	302	
RAD54L	19	
MAST2	867	
DNAJA1	1717	
B4GALT1	390	
CHMP5	231	
NFX1	291	
AQP6	4	
DIMT1	68	
IPO11	97	
FOLH1	8	
EIF2AK1	359	
NME8	2	
EPDR1	410	
SNX10	38	
SEPHS1	152	
ITPKC	256	
CEACAM6	0	
FAT2	10	
RBM22	201	
ERO1LB	61	
ZFAND6	330	
HSD17B2	3	
TXLNG	131	
PPEF1	1	
LAT2	54	
HUWE1	1269	
ZW10	59	
NOX4	39	
ACOX3	54	
