TNMD	27
CRY2	805	
PEX16	52	
DEPDC7	8	
CAT	844	
ZMYM2	236	
GJB6	0	
GJA3	0	
TBC1D15	170	
BAI2	18	
HCRTR1	12	
ZCCHC17	97	
FABP3	1158	
KHDRBS1	404	
TMEM39B	42	
CCRL2	12	
CCR2	4	
POLR3GL	144	
GHSR	0	
TNFSF10	237	
ZNF639	104	
SLITRK3	1	
PIK3CA	155	
PDS5A	266	
TMEM156	3	
LIAS	73	
CPXM2	286	
TMEM54	14	
ZSCAN20	11	
CSMD2	4	
HPCA	7	
LRIF1	73	
ADORA3	4	
CLCC1	167	
GPSM2	177	
GTDC1	74	
CXCR4	147	
ZRANB3	19	
ACVR2A	90	
POLK	98	
SV2C	0	
FLT3	2	
RPL21	1630	
MTIF3	190	
GTF3A	425	
RASL11A	52	
UBL3	339	
FYTTD1	517	
MTERF4	233	
XPNPEP2	16	
SASH3	40	
OCRL	155	
PAEP	0	
MRPS2	112	
FMOD	539	
MYOG	120	
LAX1	2	
PLG	0	
KIAA1191	384	
COPA	678	
CD244	9	
LY9	1	
HS3ST2	8	
RBBP6	286	
ZC3H7A	199	
PRM2	0	
SERAC1	41	
LDB3	11257	
OPN4	1	
FAM35A	92	
FAM213A	309	
ZNF205	46	
NAA60	13	
RPL5	1708	
ODF2L	53	
PTGFR	28	
TRMT13	217	
LRRC39	848	
RWDD3	11	
ZNF644	137	
CCDC18	51	
RPAP2	95	
PQLC1	113	
BBS9	47	
ZMIZ2	345	
OCM	0	
SEPT7	704	
EEPD1	202	
KLHL7	89	
HERPUD2	127	
CBX3	278	
HNRNPA2B1	3499	
WIPF3	133	
NXPH1	0	
NPY	0	
FAM126A	116	
HOXA7	51	
INHBA	19	
FKBP9	434	
ARL4A	36	
POLM	81	
RAMP3	109	
FTSJ2	74	
TWIST1	7	
SMU1	236	
GLIPR2	87	
SLC25A51	16	
CLTA	224	
RECK	82	
SPINK4	0	
ACO1	316	
KIAA1045	3	
DNAI1	4	
DCAF10	111	
CNTFR	145	
KIAA1549	31	
TRIM24	106	
C7orf49	138	
CALD1	1939	
AKR1D1	0	
SFTPA1	0	
NEUROG3	0	
PLAU	164	
SRGN	496	
CHST3	148	
BICC1	53	
CISD1	133	
EGR2	177	
P4HA1	255	
SLC25A16	121	
ZWINT	1	
VPS26A	241	
RBM19	108	
CIT	32	
IFT81	35	
ACADS	269	
HVCN1	30	
DDX54	239	
MED13L	469	
CDKN2C	66	
RNF11	691	
RASSF8	183	
BHLHE41	413	
SSPN	337	
ITPR2	124	
CCDC91	103	
NECAB1	18	
WWP1	922	
ACOT9	173	
DDX39A	111	
PKN1	431	
CD97	331	
WDR83	173	
GIPC1	190	
ACTRT1	0	
CCDC70	0	
SPRYD7	93	
EBPL	45	
ATP7B	36	
ZC3H13	277	
NLN	121	
CENPK	5	
OPTN	2024	
ITIH5	575	
ATF1	108	
TSFM	79	
NEUROD4	0	
ARHGAP9	127	
NCKAP1L	47	
MMP19	209	
PFDN5	634	
SPATS2	54	
ORMDL2	61	
NR4A1	7610	
PDE1B	61	
HOXC13	0	
CDK2	106	
LRP1	2419	
HOXC11	2	
NFE2	34	
HOXC12	0	
IKZF4	110	
SMUG1	69	
TUBA1B	821	
METTL21B	18	
KBTBD4	121	
SARDH	9	
DBH	4	
STIL	3	
HJURP	1	
IL13RA2	1	
COL10A1	3	
AMD1	301	
NDUFAF4	101	
USP45	40	
PLP1	139	
SERPINA7	2	
MORF4L2	761	
H2BFWT	0	
RAB9B	40	
NRK	23	
FAM199X	130	
ESX1	0	
ATXN3L	0	
RAB9A	56	
METTL8	52	
TTC21B	108	
NMI	49	
TNFAIP6	35	
ACVR1C	68	
BAZ2B	131	
SLC36A1	54	
LPGAT1	211	
BATF3	10	
G0S2	3076	
KCNJ2	55	
RAP2C	143	
PLA2G12A	191	
ADCK4	84	
PFKFB2	199	
C4BPA	4	
C4BPB	6	
RAB38	7	
GPR83	1	
MXD4	378	
CKS2	25	
ACSL3	283	
CHPF	138	
DNPEP	249	
INHA	1	
MOGAT1	2	
OBSL1	474	
FAM124B	6	
SLC12A4	281	
ENKD1	33	
MC3R	0	
GCNT7	3	
CTCFL	0	
FAM210B	369	
PI3	11	
FAM209A	1	
SNX21	268	
SLPI	56	
WFDC3	1	
TTPAL	39	
PREX1	187	
KCNS1	3	
SLC12A5	6	
ARHGAP40	0	
SDC4	693	
NCOA3	217	
PIGT	313	
MATN4	6	
NCOA5	107	
VAPB	464	
PARD6B	36	
ATP5E	560	
CHD6	145	
PLCG1	308	
TOX2	5	
SRSF6	724	
GDAP1L1	1	
GTSF1L	0	
ARFGEF2	211	
ZNFX1	457	
ZNF831	7	
EDN3	0	
CSE1L	272	
RAB22A	109	
PTGIS	339	
STAU1	417	
CDH26	10	
SNAI1	44	
MOCS3	14	
PMEPA1	409	
RNF114	334	
ANKRD60	0	
DDX27	144	
RBPJL	0	
SEMG1	1	
C20orf85	0	
BCAS4	6	
KCNK15	8	
TP53TG5	9	
PCK1	164	
ZBP1	40	
NEURL2	29	
MAGEA10	0	
MTRR	187	
FASTKD3	20	
PEPD	160	
CHST8	0	
IQSEC2	57	
VAMP7	142	
IL9R	3	
XG	49	
STAMBP	182	
NAGK	197	
MCEE	39	
PAIP2B	1316	
SNRNP27	72	
MPHOSPH10	101	
IL17C	0	
ATP8A1	337	
USP22	888	
POF1B	3	
HIF3A	109	
ZNF576	25	
IRGC	0	
ZNF45	58	
LYPD3	1	
PSG8	1	
CEACAM8	2	
NDP	5	
CRISP2	0	
F13A1	128	
GRM4	0	
TRERF1	37	
PACSIN1	1	
BTN2A2	32	
SIRT5	136	
MRS2	173	
WRNIP1	161	
RRP36	103	
BTN1A1	1	
SNRPC	172	
SLC17A3	1	
SLC17A1	0	
SERPINB6	340	
XPO5	105	
ABCC10	72	
HIST1H1D	0	
PEX6	78	
NQO2	131	
OARD1	113	
UNC5CL	10	
AARS2	52	
HIST1H1A	0	
ZNF391	12	
RPS10	3	
MOCS1	179	
HIST1H2BJ	5	
MED20	48	
OR2B6	0	
TBCC	67	
SPDEF	0	
TCP11	0	
MAD2L1BP	49	
APOBEC2	1612	
KLHDC3	600	
GNMT	6	
DNAH8	1	
TREM1	148	
MEA1	93	
KLHL31	648	
COL21A1	81	
CDKN1A	2415	
SOX4	56	
GLO1	407	
CPNE5	6	
KCNK17	2	
RREB1	239	
SSR1	303	
RIOK1	54	
NRN1	109	
SLC35B3	52	
RPP40	5	
ATXN1	234	
NUP153	248	
DEK	512	
EEF1E1	11	
CRISP1	0	
RUNX2	21	
OPN5	0	
GCM2	0	
LRRFIP1	742	
RAB17	53	
CXCL6	0	
EREG	10	
TRIM51	0	
MYRF	13	
SCGB1D2	0	
SCGB2A1	0	
AHNAK	9874	
EMC3	294	
SSUH2	4	
WNT1	0	
SH3TC1	131	
CNOT1	544	
BBS2	224	
MT1G	192	
MT2A	2453	
GOT2	1464	
DOK4	69	
PIWIL1	0	
GPR18	3	
CLYBL	48	
TMTC4	66	
RAP2A	87	
SLC10A2	0	
ABCC4	32	
EFNB2	154	
TM9SF2	411	
C17orf53	2	
IRF1	1013	
UPF3B	48	
RNF113A	14	
SEPT6	68	
NDUFA1	360	
AMELX	0	
ATP5S	82	
BMP4	28	
PTGER2	7	
FAM193A	122	
GRK4	17	
SOX9	31	
TEKT3	0	
MYH2	38558	
HS3ST3B1	4	
SLC25A35	51	
MRPS7	223	
GGA3	137	
ARMC7	27	
NUP85	77	
SLC25A19	28	
MIF4GD	75	
NT5C	61	
MSTO1	36	
C1orf61	4	
TTF1	68	
GTF3C4	81	
DDX31	36	
BARHL1	0	
PPP1R12C	341	
MBOAT7	221	
SRMS	0	
SLC2A4RG	281	
C20orf195	1	
BHLHE23	0	
PPDPF	362	
IL1B	45	
CHCHD5	26	
PAX8	102	
INSIG2	81	
POLR1B	65	
CCDC93	145	
PSD4	64	
SLC25A23	521	
GTF2F1	168	
ALKBH7	183	
CLPP	156	
GRIA3	4	
THOC2	199	
MED1	124	
RPL23	1442	
ATG4C	33	
CD70	1	
C3	1286	
SH2D3A	24	
TRIP10	1088	
GPR108	140	
TNFSF14	11	
SNRPD2	236	
SYMPK	343	
GPCPD1	161	
SDCBP2	19	
PANK2	97	
TGM3	1	
GNRH2	1	
DEFB126	0	
CD93	462	
GZF1	123	
PAX1	1	
NAPB	46	
CST8	0	
NKX2-4	0	
CENPB	359	
PSMF1	443	
NKX2-2	0	
DTD1	60	
CSTL1	0	
RBCK1	277	
TMX4	446	
CST11	0	
STK35	152	
SNRPB	106	
NRSN2	54	
AP5S1	45	
RRBP1	359	
BMP2	41	
ZNF133	62	
FLRT3	12	
OVOL2	0	
PCSK2	10	
GFRA4	0	
MKKS	174	
BFSP1	6	
DSTN	2368	
LAMP5	1	
SNRPB2	121	
MGME1	78	
LRRN4	1	
TBC1D20	205	
ITPA	41	
OTOR	1	
MCM8	28	
BANF2	0	
TMEM74B	24	
FAM110A	35	
MRPS26	104	
DEFB129	0	
S1PR4	26	
NCLN	152	
CITED1	2	
HNRNPR	320	
ZNF436	116	
MAX	175	
GDF5	1	
MMP24	146	
NECAB3	192	
ID1	141	
RALY	460	
DYNLRB1	323	
C20orf173	0	
EIF2S2	305	
ERGIC3	305	
ROMO1	88	
FAM83C	0	
BPIFB1	1	
CEP250	126	
PLAGL2	220	
GRPR	0	
KDM5C	454	
AMOT	665	
TMEM115	119	
PSMB2	217	
UROD	175	
ST3GAL3	180	
TMEM53	85	
HECTD3	254	
KLC1	155	
XRCC3	116	
TUBGCP3	87	
MCF2L	206	
F10	75	
PCID2	116	
PROZ	7	
SLURP1	0	
LRFN3	50	
IGFLR1	1	
CAPNS1	1015	
PDCD2L	20	
RBM42	158	
KIRREL2	1	
UBA2	563	
FFAR2	86	
HCST	6	
FFAR1	0	
COX6B1	717	
KRT36	0	
THRA	591	
CCR7	5	
NR1D1	318	
PRDX5	437	
BCL2L12	51	
IRF3	161	
RRAS	272	
PRRG2	8	
SCAF1	296	
PRR12	212	
TSKS	4	
FLRT1	3	
ASL	26	
SBDS	903	
CSN1S1	0	
STATH	0	
HTN1	0	
STAT5A	204	
WNK4	4	
BECN1	312	
PRKCG	3	
TRAP1	524	
GLIS2	130	
NSRP1	144	
DNAJC8	240	
AHDC1	355	
IFI6	259	
DACH2	1	
ZNF384	200	
SSX1	0	
UXT	117	
CFP	54	
ELK1	86	
TIMM17B	132	
PCNXL4	250	
ATG14	130	
KTN1	1686	
SIX1	430	
RHOJ	75	
DLGAP5	0	
ZBTB1	188	
TRMT5	51	
SGPP1	61	
PLEKHG3	301	
PZP	10	
PRDM7	0	
RHOT1	204	
OMG	5	
AIF1L	248	
FAM78A	166	
NUP214	229	
AVPR2	22	
MAP2K2	530	
HNRNPH2	365	
ARMCX1	106	
TMEM35	25	
NXF5	2	
TIMM8A	16	
ZC4H2	25	
CANX	1204	
RGS13	1	
IPPK	56	
ZNF484	17	
OMD	43	
FGD3	124	
HIVEP3	41	
PPCS	73	
EDN2	1	
BCL11B	7	
COX7C	1072	
TRAF2	63	
ABHD8	45	
MASP1	96	
ATP13A4	2	
HRASLS	51	
HELB	1	
RAP1B	249	
IL22	0	
TSPAN8	82	
BEST3	85	
RAB3IP	49	
DYRK2	179	
YEATS4	46	
TAS2R3	0	
TAS2R4	1	
TAS2R5	1	
CRYGN	1	
LRRC61	14	
TRPV5	0	
IDUA	56	
AUNIP	6	
PIN1	137	
FBXL12	100	
EMC1	196	
PLA2G5	6	
UBR4	732	
HP1BP3	775	
EMR2	64	
SIN3B	247	
OR7A10	0	
SLC35E1	288	
EPS15L1	202	
KLF2	1144	
OR7C2	0	
OR7C1	0	
F2RL3	2	
GFER	64	
SYNGR3	27	
PKMYT1	27	
WDR24	61	
FBXL16	29	
GNG13	1	
SMARCA4	244	
KDM4B	210	
TICAM1	84	
METTL25	29	
IL17B	8	
EMC6	120	
METTL16	106	
TUBA4A	1256	
VIL1	18	
AAMP	246	
PNKD	131	
TNFRSF19	15	
RNF6	153	
ECHS1	525	
ZNF835	8	
AKAP9	412	
GNG11	171	
SHFM1	173	
GNGT1	1	
HIP1	260	
PTPN12	277	
POR	179	
FGL2	291	
STYXL1	29	
STEAP4	296	
GNAI1	145	
PEX1	147	
SGCE	161	
RBM48	68	
CASD1	122	
LRFN1	10	
ZFP36	9930	
SRD5A3	28	
SPINK2	0	
RASL11B	2	
PAICS	176	
KDR	147	
PPAT	23	
TUBGCP6	406	
ADM2	12	
DGCR6L	138	
DGCR8	208	
ASPHD2	11	
VPREB3	1	
SDF2L1	17	
GAL3ST1	16	
YWHAH	443	
RFPL1	0	
GNAZ	32	
MGAT3	50	
ADORA2A	2	
ATF4	1657	
A4GALT	120	
CDC42EP1	174	
APOL3	166	
MCHR1	2	
TPST2	186	
BAIAP2L2	11	
MPST	160	
GALR3	0	
TST	92	
APOL5	1	
APOL2	194	
LIF	32	
C22orf23	22	
RIBC2	0	
KRT17	0	
EMC4	249	
CPA4	1	
DOCK4	88	
POT1	70	
TAS2R16	0	
ATP6V1F	358	
CDHR3	5	
PRKRIP1	77	
VGF	0	
PODXL	477	
FOXP2	28	
STRIP2	185	
MKLN1	246	
DNAJB9	238	
FLNC	13375	
LRRC4	20	
CALU	559	
CCDC136	26	
SMO	51	
IRF5	16	
LRRC17	11	
KLHDC10	205	
NDUFA5	509	
FEZF1	0	
OPN1SW	10	
MRPS12	65	
MYO1B	99	
HOXD1	10	
HOXD3	53	
MTX2	124	
PDE11A	37	
CHN1	44	
GAD1	35	
OSGEPL1	39	
ORMDL1	129	
HAT1	183	
HOXD9	37	
HOXD10	12	
HOXD11	0	
HOXD13	0	
HERC2	346	
SNRPN	9	
PSMG2	121	
TWSG1	200	
ARHGAP22	13	
EIF2AK4	183	
MYO5C	58	
CGNL1	350	
TMOD2	110	
TTBK2	143	
ELL3	5	
C15orf57	46	
INO80	157	
DLL4	73	
ALDH1A2	106	
FAM63B	155	
IVD	339	
DUT	156	
CHAC1	9	
CLN6	79	
ARPP19	796	
VPS13C	287	
CALML4	45	
ISLR	251	
THAP10	9	
LOXL1	88	
ANAPC13	159	
MBD4	119	
COPB1	265	
PSMA1	352	
SUMF2	324	
PALLD	1393	
SPCS3	301	
BBOX1	2	
MYOD1	107	
SERGEF	45	
KCNC1	3	
TPH1	8	
CSRP3	2283	
E2F8	54	
DCTD	147	
SOX15	6	
FAM64A	1	
RPAIN	105	
USP6	127	
SHBG	1	
PLD2	86	
AIPL1	0	
CD68	1	
TXNDC17	42	
ATP1B2	48	
FXR2	363	
KIF1C	3201	
MPDU1	133	
LRRC6	5	
CCNT1	153	
PUS7L	15	
KRI1	139	
ILF3	904	
SLC44A2	940	
AP1M2	38	
CDKN2D	49	
MTUS1	813	
KLK10	4	
KLK8	2	
NGDN	71	
RIPK3	15	
ADCY4	245	
RAB2B	110	
BCL2L2	234	
AJUBA	44	
DTD2	20	
PARP2	102	
HEATR5A	82	
FOXA1	0	
SNX6	220	
EAPP	100	
EGLN3	58	
MIS18BP1	33	
NRL	14	
RNASE1	504	
DAD1	185	
TEP1	126	
EPB41L4A	69	
CDO1	135	
REEP5	586	
ITFG1	260	
QRICH2	28	
FOXJ1	3	
SEC14L1	739	
RHBDF2	77	
AANAT	0	
ARHGEF6	573	
FGF13	85	
ASH2L	169	
TTI2	43	
ART1	54	
CHRNA10	102	
SGOL1	0	
RPS4Y1	1	
CDH15	131	
TMEM8A	236	
DOHH	67	
MAU2	450	
SHC2	87	
ABHD17A	257	
LBP	28	
SYT5	1	
TNNI3	4	
CBFA2T3	83	
GAMT	987	
PHF10	506	
PRRG3	15	
KCNA5	60	
CRACR2A	13	
NXNL2	1	
STARD8	61	
GDPD2	14	
SAT1	1377	
SH3BP4	148	
MOSPD2	78	
DOCK6	262	
ECSIT	166	
LDLR	562	
ELOF1	92	
TSPAN16	1	
C19orf80	11	
PRKCSH	440	
CNN1	981	
CDC16	283	
ZSCAN10	0	
THEM6	80	
EXOC3L2	13	
APOE	188	
GADD45G	110	
LRCH2	17	
DPP6	10	
XPO7	332	
ACE2	0	
FAM98C	21	
SAFB2	234	
RPL36	499	
NCAN	0	
KIF1A	23	
GTPBP3	42	
PLVAP	417	
BST2	278	
SLC27A1	307	
NSUN5	67	
USHBP1	25	
COLGALT1	211	
DDA1	105	
MRPL34	190	
PGLS	68	
LSM7	63	
TULP4	114	
SNX9	266	
RTN4IP1	22	
QRSL1	96	
C6orf203	55	
RSPH3	24	
MAS1	0	
ACSBG2	3	
MLLT1	134	
FUT5	0	
BMP15	0	
MLLT4	205	
ACTN4	2141	
STK33	15	
NDUFA10	531	
EPO	0	
ARPC1B	175	
CACNG6	156	
ZSWIM6	84	
FCHO1	19	
UNC13A	2	
MAP1S	98	
SCO2	71	
PXDN	290	
SSBP4	139	
GDF15	40	
PGPEP1	220	
KIAA1683	79	
LSM4	166	
HRC	879	
TRPM4	222	
SULT4A1	2	
ZNF557	42	
CRB3	6	
OLFM1	141	
CAMSAP1	212	
UBAC1	474	
SAG	1	
ZBTB46	62	
HELZ2	338	
SAMD10	14	
TNNT3	7533	
TNNI2	4576	
ATXN10	283	
TUBGCP2	267	
CALY	1	
CYP2E1	14	
PNPLA7	167	
PAK4	142	
MNX1	0	
ZNF337	122	
CEP85	532	
TAF4	84	
GATA5	1	
RBBP8NL	3	
OSBPL2	158	
ADRM1	324	
ASS1	282	
PRDM12	0	
EXOSC2	68	
POMT1	161	
UCK1	135	
FIBCD1	0	
PRRC2B	1035	
CHMP2A	261	
UBE2M	238	
TRIM28	719	
C16orf13	109	
YIPF2	147	
ATG4D	138	
TMEM160	23	
ZC3H4	135	
NPAS1	2	
GMFG	79	
MAP3K10	89	
ARHGEF16	32	
LRRC47	408	
SESN2	73	
SMPDL3B	2	
ATPIF1	312	
MED18	35	
THEMIS2	122	
CLIP1	1193	
CCDC62	6	
HIP1R	194	
ZNF317	92	
PPAN	4	
EIF3G	471	
ANGPTL6	27	
DNMT1	105	
ZNF426	24	
PNCK	18	
DKC1	127	
PLXNA3	196	
DUSP9	9	
MPP1	114	
ZNF331	418	
ZNF236	60	
SLC7A10	54	
LRP3	155	
NOL11	105	
UBE4B	329	
CASZ1	296	
PKDREJ	0	
HSD17B3	1	
HABP4	105	
FBP2	437	
SLC35D2	28	
PRRG1	125	
RGN	32	
POLN	9	
TXLNGY	0	
PPIL4	101	
AKAP12	540	
SYNE1	522	
ULBP3	1	
LATS1	154	
EPS8L1	15	
LILRB2	193	
AAR2	132	
TTLL9	0	
BPIFA2	0	
COX4I2	15	
BPIFA3	0	
ZNF341	23	
GGT7	141	
DEFB118	0	
ACSS2	772	
EDA2R	23	
ARHGEF9	85	
C1QL1	0	
GFAP	10	
PYY	3	
HIGD1B	6	
ZNF227	48	
ZNF428	75	
TEX101	0	
ZNF141	44	
CCL25	0	
COX4I1	1028	
GSE1	521	
GINS2	11	
CHMP1A	195	
SH3BGRL	480	
COX7B	712	
SLC34A1	0	
F12	0	
PRR7	3	
NFATC1	354	
IDO1	15	
GJA9	0	
CAP1	681	
PPT1	248	
RAB11FIP4	51	
RLIM	165	
CDX4	0	
TRAF3	76	
HAUS8	8	
EMR3	19	
MRPS25	348	
SH3BP5	285	
HACL1	70	
TBC1D5	186	
CAPN7	163	
RFTN1	196	
C3orf20	1	
SLC6A6	228	
NAPSA	2	
NR1H2	479	
LRRC4B	24	
PDLIM4	62	
KIF3A	33	
MGAT1	389	
GFPT2	72	
TUBG1	73	
PSME3	257	
RPL27	1129	
PSMC3IP	62	
AOC3	1550	
ACLY	241	
VPS25	77	
RAMP2	148	
AOC2	26	
G6PC	0	
NDUFA2	201	
NDFIP1	408	
UBE2D2	337	
EXOC4	364	
ACAP3	277	
PPFIA1	220	
TMEM204	61	
KREMEN2	0	
THOC6	84	
TRAF7	181	
BARX1	0	
NINJ1	143	
CA6	0	
MAP1B	336	
IL13RA1	403	
CKMT2	1073	
ZCCHC9	69	
TNS4	43	
TOP2A	3	
STARD3	122	
RARA	250	
PPP1R1B	75	
KHDRBS3	87	
CHD1L	82	
PEX11B	62	
FMO5	15	
PIAS3	124	
PRKAB2	477	
FSHB	0	
PDHA1	516	
RAI2	76	
MCCC2	205	
ZNF304	61	
ZSCAN5A	12	
ZNF132	17	
VIMP	139	
CHSY1	120	
SNRPA1	62	
LLGL1	112	
NR0B2	14	
LIN28A	3	
THAP1	55	
RHPN2	25	
C19orf40	4	
ACTR10	166	
ABHD12B	3	
GCH1	70	
LGALS3	402	
PODNL1	10	
DNAJB1	5777	
ZSWIM4	45	
FBXW9	7	
RFX1	67	
C19orf57	7	
DCAF15	95	
CC2D1A	118	
RTBDN	0	
MATN3	3	
TRIM21	73	
SPATA6	26	
LRRC41	245	
CCT6B	11	
DHX30	227	
RAF1	1015	
SLC6A11	0	
PPARG	163	
NUP210	55	
FCRLA	1	
HSD17B7	10	
ENOSF1	100	
EMILIN2	67	
ARFIP2	86	
TRIM5	57	
CNGA4	0	
TRIM22	335	
RRP8	52	
EFR3A	353	
PTCD3	372	
IMMT	514	
MRPL35	172	
IQCA1	1	
ILKAP	92	
PER2	236	
RAMP1	143	
SCLY	7	
PTPRE	129	
RAN	560	
PRKAA1	243	
CARD6	38	
RAP1GAP2	58	
CLUH	611	
INPP5K	231	
MYBBP1A	173	
RPA1	321	
SERPINF1	1121	
UBE2G1	802	
EEFSEC	56	
TBC1D14	898	
TMEM128	57	
COQ3	56	
POPDC3	317	
SEC61G	87	
LANCL2	79	
FIGNL1	20	
DDC	5	
FTHL17	0	
GRSF1	595	
ENAM	50	
IGJ	24	
ANKRD17	370	
UTP3	98	
ITGB4	276	
WBP2	527	
UNK	106	
TRIM47	116	
ZRANB2	372	
KDM6B	571	
CLEC10A	17	
SLC52A1	1	
GUCY2D	0	
GPS2	249	
XAF1	396	
DLG4	46	
HRSP12	48	
VPS13B	150	
RGS22	8	
MATN2	266	
REEP2	31	
PCBD2	99	
SDF2	91	
FLOT2	440	
ERAL1	131	
PRMT7	135	
NIP7	59	
TERF2	133	
VPS4A	397	
MTSS1L	405	
HSPA12B	124	
ANKEF1	17	
SCP2D1	0	
PCED1A	132	
SNAP25	18	
BTBD3	153	
PCNA	78	
NXT1	30	
POLR3F	61	
RIN2	151	
PTPRA	196	
SSTR4	0	
DAP3	234	
RHBG	201	
KIAA0907	149	
ATP1A4	9	
NES	613	
BCAN	3	
CRP	0	
ARHGEF11	225	
RAB25	1	
APCS	0	
FCRL2	0	
DCAF8	461	
SYT11	115	
IGHMBP2	83	
ACY3	0	
ALDH3B2	0	
MTL5	22	
MMACHC	27	
TOE1	39	
NASP	261	
MUTYH	32	
CTNNBL1	105	
LPIN3	145	
ZSWIM3	17	
RBM38	655	
VSTM2L	2	
OSER1	288	
SERINC3	625	
PPP1R3D	79	
DMGDH	28	
BHMT2	110	
AP3B1	91	
INADL	243	
KANK4	31	
ANGPTL3	0	
SYT4	0	
SLC14A2	15	
FBXO44	86	
RSG1	4	
CASP9	77	
NMUR2	0	
DCTN4	402	
PDE6A	1	
ATP8A2	9	
MTUS2	2	
ZMYM5	80	
USPL1	97	
XPO4	768	
TPTE2	0	
POMP	271	
CDK8	61	
ALOX5AP	82	
WASF3	101	
RNF17	0	
GPR12	1	
CHRM3	4	
MYH8	11	
MYH10	329	
PEMT	65	
SCO1	76	
MPRIP	1195	
CHI3L1	25	
MYBPH	1	
PIK3C2B	254	
DSTYK	102	
CHIT1	2	
SLC41A1	511	
LGR6	29	
TMCC2	54	
DCLK1	76	
CCNA1	1	
COG6	68	
SPG20	275	
RXFP2	0	
EPSTI1	76	
TRPC4	0	
POSTN	124	
RFXAP	29	
TPT1	17429	
GPALPP1	71	
STOML3	0	
KL	18	
RFC3	20	
STARD13	88	
MORC4	146	
BEX2	10	
RNF128	23	
TBC1D8B	58	
TCEAL4	170	
BEX1	4	
FAM104A	115	
SLC39A11	29	
EPHB2	18	
SRRM1	338	
BTBD2	333	
PRAM1	38	
SUV420H2	36	
ZNF414	33	
HSPBP1	99	
CSNK1G2	227	
ANKRD32	22	
CNDP2	178	
MACROD1	419	
LGALS12	87	
RTN3	904	
RARRES3	90	
HRASLS2	0	
MYH11	9161	
FOPNL	132	
MED10	76	
PDZD2	205	
MORC2	166	
LARGE	350	
GSTT2B	1	
C1QTNF6	12	
FAM83F	73	
SEC14L4	1	
GIMAP6	151	
GIMAP4	163	
ADCK2	60	
MKRN1	392	
AGAP3	194	
KRBA1	52	
ACTR3B	19	
NTS	14	
BTG1	391	
LRRIQ1	0	
ATP13A3	176	
DYDC2	0	
TMEM254	45	
TMTC1	367	
KRAS	154	
IPO8	188	
LARS	356	
IMPA1	79	
LRRCC1	32	
E2F5	46	
CA1	0	
CCDC59	73	
SWAP70	202	
ARNTL	54	
LYVE1	197	
AMPD3	150	
MICALCL	0	
MICAL2	243	
RRAS2	132	
HSD17B4	370	
ZFC3H1	135	
TEX15	0	
RNF122	168	
DUSP26	579	
DPF2	191	
MEN1	54	
GSC	9	
C14orf159	481	
UNC79	7	
NUMB	269	
CATSPERB	2	
COX16	57	
TTC9	19	
MED6	47	
EIF2S1	250	
ADAM20	0	
ELP3	128	
PEBP4	307	
ADAMDEC1	0	
CTIF	265	
MRO	1	
MBD2	217	
MRPS36	78	
CCNB1	14	
CDK7	52	
CD180	2	
IRAK2	42	
CAMK1	137	
THUMPD3	120	
VHL	101	
BHLHE40	1242	
ARL8B	351	
EDEM1	110	
CNTN6	0	
CHL1	40	
MEIS2	46	
KATNBL1	87	
EMC7	154	
TRPM1	0	
GNAT2	2	
GSTM1	6	
PRPF38B	156	
REG4	0	
TSPAN2	86	
TSHB	0	
GSTM5	21	
GSTM3	153	
VAV3	68	
PSRC1	6	
HMGCS2	113	
PTPN22	10	
SORT1	790	
WNT2B	55	
PTGFRN	90	
LAMTOR5	255	
ADAM30	0	
TRIM45	92	
CEPT1	117	
CD101	0	
VTCN1	0	
NGF	4	
AP4B1	95	
NAPG	134	
SPIRE1	192	
PPHLN1	128	
FKBP11	46	
ARF3	290	
TMEM106C	154	
SLC38A2	1008	
YWHAQ	593	
KIDINS220	262	
GRHL1	15	
ROCK2	447	
RSAD2	211	
MYCN	11	
LPIN1	505	
CMPK2	48	
IAH1	160	
LDHA	3177	
SAA2	0	
ANO3	3	
IL6ST	891	
FST	37	
CFHR4	0	
NAV1	234	
CDC73	142	
TIMM17A	184	
CRB1	2	
CFHR5	0	
ERN2	0	
RPS15A	423	
RAX	0	
NARS	469	
GRP	0	
KIAA1468	99	
FBXO18	237	
RBM17	326	
IL2RA	6	
ANKRD16	7	
ECHDC3	120	
IL15RA	27	
CCNH	86	
HRH4	2	
TMEM241	10	
KCTD1	65	
CABLES1	85	
DOCK2	39	
EMP1	1917	
SOX5	28	
RERG	93	
SLCO1B1	0	
KLRD1	8	
KLRC1	1	
LRP4	89	
MYBPC3	8	
DDB2	61	
ACP2	89	
USP26	1	
FAM127A	395	
RAB33A	4	
RBMX2	57	
STK26	23	
PIWIL4	16	
MTNR1B	0	
PUM1	340	
SPOCD1	0	
YARS	165	
PHC2	275	
CDCA8	2	
GNL2	154	
HOOK1	18	
CYP2J2	56	
BTF3L4	187	
ZCCHC11	235	
PRPF38A	121	
DSC2	36	
DSG3	2	
RNF138	89	
ELP2	276	
DSG1	0	
DSC3	2	
DSC1	0	
DTNA	630	
FHOD3	384	
TPGS2	119	
DAGLA	18	
SLC43A3	56	
TIMM10	43	
GIF	0	
DHX34	104	
APLNR	154	
FADS2	138	
TMEM258	89	
TCN1	0	
C5AR2	29	
TMEM165	167	
CLOCK	148	
PDGFRA	130	
GGACT	4	
COL4A2	1153	
CLDN10	3	
DZIP1	49	
UBAC2	167	
ARGLU1	461	
