ENSEMBL ID	hP1	hP2	hP3	hP4	hP5	hP6	cP1	cP2	cP3	cP4	cP5	cP6	rP1	rP2	rP3	rP4	rP5	rP6	mP1	mP2	mP3	mP4	mP5	mP6
ENSG00000075035	80.7222	82.7842	64.7192	82.7326	84.8858	39.8313	71.9177	69.7627	82.00299999999999	71.2151	40.4118	72.4136	69.5901	66.867	123.47399999999999	80.5284	56.1222	9.81138	105.809	113.604	86.7654	113.416	87.3914	112.397
ENSG00000075043	311.684	299.923	183.74099999999999	161.15	233.96599999999998	152.493	246.02900000000002	221.29	256.866	177.36900000000003	190.765	187.518	421.976	326.48400000000004	485.652	337.49699999999996	308.957	129.168	399.05400000000003	366.059	299.126	361.805	347.35	338.244
ENSG00000075073	9.4517	5.35693	1.65907	4.80889	5.6128	2.94977	14.265999999999998	11.7715	6.50662	26.0085	13.6957	8.49722	9.93908	5.9265099999999995	5.35785	6.9166	6.7601	0.0	0.0	0.0	0.0	1.3634700000000002	0.0	0.0
ENSG00000075089	102.219	89.5635	117.257	93.8009	84.4574	90.7895	77.0453	69.3937	59.3914	95.2076	80.7368	59.4636	70.4978	75.6661	76.5493	74.6403	67.6428	38.653	59.1226	30.7154	42.4569	47.6645	32.8117	45.7627
ENSG00000075131	11.7988	6.52001	21.539	5.20265	20.0389	9.5739	23.195999999999998	11.9626	12.6955	10.5722	7.422910000000001	16.5795	7.16861	7.69415	17.3897	4.48977	7.3136399999999995	5.8956800000000005	62.7051	72.3923	37.1275	44.773	75.0586	58.8505
ENSG00000075142	383.525	402.48900000000003	457.061	619.751	390.086	634.874	337.191	430.705	511.277	526.698	384.094	319.216	290.409	285.724	213.02	249.01	268.067	304.238	119.561	78.6013	95.777	96.0405	119.26299999999999	92.0133
ENSG00000075151	261.282	255.697	188.859	179.89700000000002	263.685	172.926	262.926	195.269	240.622	244.763	282.753	284.894	195.55200000000002	192.99200000000002	222.87900000000002	220.79	198.829	45.5861	260.784	272.344	321.993	257.135	254.035	290.853
ENSG00000075188	9.68251	7.6436399999999995	7.89093	7.62407	10.6783	11.2238	8.14228	13.997	13.6167	15.4628	11.9423	3.23318	6.30301	5.637580000000001	7.1352899999999995	10.527000000000001	8.57403	1.72793	13.4705	16.3291	13.9343	16.8801	9.67459	20.4808
ENSG00000075213	13.3301	19.2162	5.290109999999999	11.5002	18.3444	12.9327	27.2931	21.1132	13.4856	18.1411	25.929000000000002	14.9018	19.3396	13.2093	17.0597	6.05629	14.3497	1.44595	32.0896	25.8354	30.7062	16.8228	30.3249	26.2493
ENSG00000075218	0.367912	0.0	0.0	0.0	1.70415	0.746337	0.721903	0.7445930000000001	1.97553	0.0	1.15507	0.0	0.0	0.5998	1.0845	0.7000029999999999	0.0	0.0	1.4187100000000001	0.614207	0.0	0.683771	1.27366	0.0
ENSG00000075223	21.1207	38.9042	38.049	31.2479	33.4682	38.3349	13.6323	13.4983	39.7927	15.5332	7.85239	20.1371	86.5336	37.6041	72.0876	22.2075	39.1896	4.16592	43.2529	42.1326	54.9107	46.9045	40.2868	44.3897
