rK1	rK2	rK3	rK4	rK5	rK6
24.7976	33.788000000000004	23.8083	28.5943	12.9592	23.8764
90.5402	81.5447	102.02	87.9881	86.1688	91.869
73.2105	54.8641	57.7379	71.229	57.3896	72.4293
702.7869999999999	558.212	592.935	806.422	860.885	980.065
30.504	25.3997	29.7519	37.3728	30.3645	39.1611
9.59634	5.81133	14.4783	16.5984	15.0451	22.1756
217.72	168.47	209.033	275.462	242.00799999999998	202.644
31.8842	18.1016	16.3994	22.5368	17.1662	22.581999999999997
1.94255	8.82274	2.66436	6.999910000000001	0.0	7.01395
1.4206	3.22606	0.0	5.11907	0.0	1.02587
168.44099999999997	163.529	165.328	224.28599999999997	114.3	201.222
54.0371	40.9046	51.1936	42.156000000000006	52.4036	37.4131
141.35299999999998	87.9955	84.4379	111.291	113.23299999999999	105.802
83.8689	81.6957	79.3636	65.5978	93.1929	67.6074
92.9442	82.1983	93.4013	92.8494	84.5039	73.0995
1.6804400000000002	1.27204	2.30485	2.42216	0.0	4.85404
21.7563	24.3984	27.0774	26.1327	19.8521	38.4048
28.8691	13.875	13.8272	19.815	18.4738	21.1784
56.3612	37.47	50.7516	40.6191	54.3349	43.178000000000004
2.96679	0.449155	0.406918	1.28288	1.32895	3.42789
114.522	140.70600000000002	105.035	128.945	109.147	117.13799999999999
300.8	266.657	281.845	291.244	286.047	256.589
12.7854	16.1303	17.5361	12.2858	62.0437	18.4656
5.60426	5.30284	5.76501	3.02921	3.1379799999999998	4.04705
177.41099999999997	164.02	170.14	130.616	161.015	157.636
127.462	106.184	115.624	107.9	140.47299999999998	107.14200000000001
1.33913	2.19632	2.90814	3.5387	1.24969	3.5458
0.0	0.0	0.0	0.0	1.7957	0.0
54.9086	66.8643	67.944	63.6597	68.1734	61.2014
115.94200000000001	111.01299999999999	106.45100000000001	115.3	115.175	95.9327
65.2172	56.8983	84.9022	74.8839	39.6116	78.227
