	Human_Muscle_Relative_Gene_Expression_Difference(RPKM)	Chimp_Muscle_Relative_Gene_Expression_Difference(RPKM)	Rhesus_Monkey_Muscle_Relative_Gene_Expression_Difference(RPKM)	Human_Kidney_Relative_Gene_Expression_Difference(RPKM)	Chimp_Kidney_Relative_Gene_Expression_Difference(RPKM)	Rhesus_Monkey_Kidney_Relative_Gene_Expression_Difference(RPKM)	Human_Cerebellar_Cortex_Relative_Gene_Expression_Difference(RPKM)	Chimp_Cerebellar_Cortex_Relative_Gene_Expression_Difference(RPKM)	Rhesus_Monkey_Cerebellar_Cortex_Relative_Gene_Expression_Difference(RPKM)	Human_Prefrontal_Cortex_Relative_Gene_Expression_Difference(RPKM)	Chimp_Prefrontal_Cortex_Relative_Gene_Expression_Difference(RPKM)	Rhesus_Monkey_Prefrontal_Cortex_Relative_Gene_Expression_Difference(RPKM)	Human_Primary_Visual_Cortex_Relative_Gene_Expression_Difference(RPKM)	Chimp_Primary_Visual_Cortex_Relative_Gene_Expression_Difference(RPKM)	Rhesus_Monkey_Primary_Visual_Cortex_Relative_Gene_Expression_Difference(RPKM)
GABARAPL2	74.65677717049617	104.5055507190314	120.83767211047241	92.03063345593748	97.53496409253304	110.43440245152951	95.750985049991	104.49464151336592	99.75437343664308	108.10789157068248	107.88510809131225	84.00700033800526	98.33927399942158	110.23264910451304	91.42807689606542
MYOC	58.114137264401336	159.32123808286676	82.5646246527319	51.47016927562096	171.2235472343341	77.30628349004498	0.49276669411092633	59.78976316212581	239.71747014376334	1.671778538768608	7.280171133534418	291.04805032769707	1.4905935401928818	5.597091120751337	292.9123153390558
SH3YL1	195.67304856264005	97.18425407497612	7.142697362383826	97.03121450321956	128.0467471723029	74.92203832447754	162.53823235516418	128.90750754775442	8.55426009708138	167.49493097486527	117.21034154578946	15.294727479345275	182.04489796158566	104.85809043972279	13.097011598691566
FAM136A	121.23255692990134	140.30001317486537	38.46742989523335	154.1227964070135	126.61408316540994	19.263120427576517	157.85483706441542	107.67289742943696	34.47226550614758	116.66452622367711	132.54042493374442	50.79504884257845	117.98308748374946	146.8863190778654	35.13059343838514
VCL	77.82540384180082	146.44764402124997	75.72695213694921	93.60484025039314	135.45962679433157	70.93553295527529	106.86270163481264	84.76082621039303	108.37647215479431	116.18639550662088	101.38071326449791	82.43289122888123	80.31556268419935	107.81897411669104	111.86546319910966
DEPDC1B	62.03322570346421	103.69714546559496	134.26962883094077	218.5656212494781	10.690243546765677	70.74413520375622	163.8219474972213	126.95801875960355	9.220033743175184	177.11297106324062	99.62418421155071	23.26284472520867	146.3383910500747	123.52756859509313	30.13404035483216
DAPK2	79.67808010186279	149.35912586854116	70.96279402959603	147.92729802761968	83.12051216721747	68.95218980516282	59.94496157909703	158.55619130767417	81.4988471132288	108.58003592031874	116.52136696000869	74.89859711967257	129.97423045542706	121.33271831993807	48.69305122463484
NSMAF	68.3884508541421	86.31080744348017	145.30074170237768	101.98807761085935	80.73822332343727	117.27369906570335	97.99698165602283	72.1503392299329	129.85267911404426	98.80371192576328	76.65993211167728	124.53635596255941	75.43451454831866	62.4034386879956	162.16204676368577
ADSS	109.32190686087648	150.9359766174609	39.74211652166261	113.6253886195343	121.92938810968555	64.44522327078015	133.95348119819553	96.99403819447684	69.05248060732764	141.62622091508047	104.9297851922417	53.44399389267779	123.6784967292373	110.58847118797	65.73303208279275
TIMP2	127.31599319284493	67.08738502542383	105.59662178173119	113.85853875307488	106.735407176233	79.40605407069215	86.44874961395999	115.6460763838335	97.90517400220644	112.9391581888278	107.58091515470538	79.47992665646683	121.65232396015624	108.79724099292174	69.55043504692206
RFC1	80.57928052565072	115.2705972602632	104.15012221408605	99.0485046533493	89.66904061258613	111.28245473406454	77.59445222659093	98.35541475450604	124.050133018903	92.29189119640864	113.89237029287871	93.81573851071262	80.42051321629276	90.85127928566098	128.7282074980463
TBC1D23	77.84941391449753	143.97055511832878	78.18003096717372	95.66854425609942	89.06324485168406	115.26821089221653	81.74475811093649	107.82346628046385	110.43177560859962	106.20578620920875	97.83135896289672	95.96285482789449	72.83754932758637	100.53294237056514	126.62950830184852
CUL3	51.54313865263044	106.05519073738925	142.40167060998027	78.63965217426863	118.15095415925931	103.20939366647208	84.99747523630322	108.17956396769726	106.82296079599949	107.08726303859133	99.59987040872852	93.31286655268019	81.65477077639719	92.59845454306421	125.74677468053856
MYOM2	76.05467392825248	82.90503574812278	141.04029032362476	205.16489945520772	58.04301821470468	36.7920823300876	29.7197330486994	103.53377268981758	166.74649426148304	71.29913244593882	185.8222085093668	42.87865904469448	61.9840134111338	184.72860397274405	53.28738261612214
OTC	300.0	0.0	0.0	300.0	0.0	0.0	300.0	0.0	0.0	226.5520748576078	73.4479251423922	0.0	235.94898982987567	0.0	64.05101017012427
CYP46A1	104.93271416689593	126.56710263482911	68.50018319827491	122.49515663684731	92.40513561322385	85.09970774992883	66.72418779871217	115.85718100099685	117.41863120029097	112.47758542216182	91.81224337098192	95.71017120685632	94.42291895708902	117.91894720824826	87.65813383466275
ZZZ3	66.85398230016118	128.24353235169562	104.90248534814324	84.81795100932614	114.7404112834976	100.44163770717628	70.83970144423694	113.51598066557953	115.64431789018347	91.35945392307472	118.1918380951175	90.4487079818078	81.61764924581465	119.12605166571156	99.25629908847374
USP2	117.72641665536956	93.32851066113481	88.94507268349557	82.7916269319419	116.8483095199424	100.3600635481157	104.00337017437178	94.15769587409531	101.83893395153292	97.88880411824036	125.29344282603512	76.81775305572451	80.29948184226457	115.0078862163378	104.69263194139764
CASR	0.0	300.0	0.0	37.54550440167017	126.59559957333958	135.85889602499023	0.0	0.0	300.0	0.0	135.1055595361287	164.89444046387126	39.19442691860423	228.81266499616717	31.992908085228528
TUBG2	109.13914278626042	141.8240018783124	49.03685533542721	144.87128164769024	136.31030406416423	18.81841428814555	133.61507359342323	89.22675222927502	77.15817417730176	131.55449867269553	89.58915639618871	78.8563449311158	139.97846890923034	98.01874119857632	62.00278989219326
RPL26L1	55.68240635948225	82.29825330547068	162.01934033504708	85.38221041187853	96.84840309036971	117.76938649775173	49.89402931434732	79.10444571794896	171.0015249677037	68.09169801616021	81.02138294627424	150.88691903756558	65.04640736875282	94.37555281331844	140.57803981792875
FLT4	93.92376859118085	140.13703355699408	65.9391978518251	162.37022423199997	86.03448839610553	51.595287371894486	83.14969788304532	138.78956544541865	78.06073667153603	85.28193667703535	140.75098818597516	73.96707513698952	75.78336541939795	183.99663017965858	40.22000440094348
NSUN2	90.1548870909914	125.35209392863305	84.49301898037558	113.95578039141785	97.95539311433447	88.08882649424768	89.52031166714343	116.04064185650222	94.43904647635432	112.48818973752543	105.47915845954765	82.03265180292689	90.96114322340708	104.68754074088251	104.3513160357104
FBXO42	105.85879938473566	68.00002974344156	126.1411708718228	138.1090701521002	71.49349915181912	90.39743069608063	133.36933682770683	83.33664973883866	83.2940134334545	132.55098176987892	80.463062895234	86.98595533488712	127.11365442297907	67.85689562610419	105.02944995091674
MFAP3	58.19937112832411	126.23712631358204	115.56350255809389	99.53862505435043	78.2533014255228	122.20807352012673	62.440262534974565	130.32921369626845	107.23052376875697	82.9565063477134	112.08451396760148	104.95897968468506	53.60398249830672	99.6397656768792	146.75625182481406
MRI1	77.84949854214524	80.6563805002736	141.49412095758115	120.96185135936288	59.047142759102364	119.99100588153469	131.73917472285822	80.7199892988329	87.54083597830892	122.85337256999125	82.32868320048918	94.81794422951955	127.06769300340083	90.40649220533543	82.52581479126371
