	Human_Prefrontal_Cortex_Relative_Gene_Expression_Difference(RPKM)	Chimp_Prefrontal_Cortex_Relative_Gene_Expression_Difference(RPKM)	Rhesus_Monkey_Prefrontal_Cortex_Relative_Gene_Expression_Difference(RPKM)
DPEP1	38.89319726562624	0.0	261.10680273437384
BID	171.50886661610812	88.98633281039349	39.504800573498436
MATR3	129.60442316381435	132.75048937542172	37.645087460763904
NPC1L1	35.35554254443919	0.0	264.6444574555608
XYLT2	76.3638206665855	90.57352476224528	133.06265457116916
STMN4	88.75942403689878	84.93782186997919	126.30275409312202
NUDCD3	104.17794479444402	102.97265557062121	92.84939963493484
CHDH	92.69589932947756	112.55523487103267	94.74886579948975
IL20RA	70.3329350492708	133.31531167347157	96.35175327725769
CLCA1	0.0	0.0	300.0
GLT8D1	111.71396439596333	107.90648254730273	80.37955305673393
ATP2C1	120.9117323849056	118.57124091593674	60.51702669915768
IGF1	48.63073292632034	95.0062634566092	156.36300361707046
