cP1	cP2	cP3	cP4	cP5	cP6
3.0920099999999997	3.50811	3.94869	2.1139	3.21576	5.8934
58.6723	84.723	74.9282	101.95200000000001	75.1024	83.8726
274.165	270.824	299.237	290.637	304.453	303.853
0.0	0.0	0.0	0.0	0.0	0.0
42.6201	51.2863	64.7959	137.596	99.4494	93.0811
946.571	955.7230000000001	1038.85	1113.49	1066.8	1055.68
0.0	0.0	0.0	0.0	0.0	0.0
50.0453	56.9951	33.7625	44.5498	46.293	31.0504
818.832	917.822	670.711	1040.12	810.4960000000001	972.951
367.44199999999995	353.975	415.92800000000005	406.244	469.561	426.161
0.0	0.0	0.0	0.0	0.0	0.0
31.9461	46.8626	40.1496	37.2098	35.2126	14.3767
8.22057	10.1747	14.9974	13.1136	18.4145	3.9171199999999997
0.0	0.0	0.0	0.0	0.0	0.0
4.77281	5.46981	3.3862099999999997	9.66818	7.21242	6.94912
93.2519	133.524	138.10299999999998	133.757	106.2	142.453
207.023	163.892	144.944	214.618	192.83900000000003	184.83900000000003
215.15099999999998	197.562	202.75900000000001	152.269	200.99	170.33599999999998
6.33289	0.0	2.8883900000000002	0.0	17.7325	7.54409
65.9423	59.0318	54.4771	55.2899	59.7228	50.3933
11.2917	11.6466	2.57503	6.43311	11.2919	6.725630000000001
292.131	280.506	226.95	297.96299999999997	316.79400000000004	259.0
349.536	327.502	345.661	332.02099999999996	364.31	343.227
585.85	636.773	741.052	485.282	711.075	618.581
1.09809	7.928210000000001	7.01163	7.5072600000000005	4.39246	3.9243099999999997
16.3163	18.0312	29.767	31.8711	15.8505	22.2136
24.4435	27.7329	28.2429	21.3532	22.1626	31.0597
25.4663	36.7734	51.1061	52.2313	28.5229	30.3369
850.755	824.3	1214.5	1055.42	1078.69	468.88800000000003
14.0814	17.6362	14.2211	17.191	15.690999999999999	14.9772
398.972	0.0	363.93699999999995	909.212	0.0	237.639
1.34636	4.16604	19.6501	1.5341	7.539810000000001	11.227
141.56799999999998	135.957	83.1251	92.4031	108.352	88.3054
0.9431959999999999	0.0	8.60372	0.0	4.52745	0.0
0.0	0.0	1.36476	0.0	0.0	0.0
26.4624	25.8945	24.7576	22.421	15.7421	16.9742
266.319	244.4	363.93699999999995	244.61	234.933	325.698
1.6905599999999998	5.23108	1.54211	0.0	4.05744	2.01389
287.808	365.17699999999996	239.615	221.23	325.276	220.40599999999998
10.2593	4.11512	6.238919999999999	4.54606	2.7358700000000002	3.3948400000000003
132.79399999999998	144.273	177.123	143.914	169.03599999999997	141.31799999999998
1839.98	2268.11	2095.76	1838.38	2085.43	1848.3
25.3923	30.1369	38.71	21.7989	22.5405	18.2321
