cK1	cK2	cK3	cK4	cK5	cK6
73.5861	10.6905	9.60636	8.55231	3.37198	27.0022
4.55769	5.25812	5.35489	5.95916	47.9309	18.3559
253.47299999999998	193.463	280.759	192.90400000000002	133.662	222.09400000000002
45.3162	70.2276	61.1893	67.0625	34.1701	42.2224
29.5959	48.7775	39.7401	46.0673	26.1551	59.5982
9.93233	0.9878239999999999	6.43841	4.4781	1.41249	3.44846
32.1451	36.5233	39.7297	35.0247	21.5211	37.8302
331.19199999999995	0.0	194.56099999999998	0.0	170.734	333.466
14.5292	3.22348	6.56561	1.21775	2.30463	9.002469999999999
140.188	79.3983	91.8671	88.2196	64.3981	58.6963
7.04663	3.01096	0.0	0.0	10.4943	0.0
38.501	245.97099999999998	267.035	342.366	131.892	430.17199999999997
12.9548	11.3717	16.5443	6.13708	1.7421900000000001	6.805439999999999
19.3335	23.4362	33.579	14.6542	11.2667	23.6981
72.9745	60.7135	64.304	102.448	26.0442	56.5197
3229.12	3846.42	3825.13	5045.16	4529.68	2287.17
27.4416	8.18765	25.5709	18.5585	18.0491	25.7245
73.4893	62.1745	85.1923	70.4638	70.7184	85.8331
89.0447	85.6078	64.053	54.9458	51.5248	39.339
122.428	43.5834	31.5504	48.7649	22.6257	26.7471
32.7478	30.1855	23.0062	23.1745	19.1445	12.2373
84.7883	67.7384	63.1387	92.3837	64.0254	72.1442
62.2425	22.163	35.2105	32.6532	78.4348	167.12
1.9753	1.8990599999999997	0.0	2.15225	6.109780000000001	3.97773
38.0659	18.5635	34.3533	18.033	18.7704	16.6641
18.1357	31.1351	6.08795	14.1145	10.6848	18.2602
121.214	92.678	126.71700000000001	144.55200000000002	474.31699999999995	107.632
0.0	0.660142	0.0	0.0	0.707952	2.7654400000000003
35.6668	246.329	242.025	274.41200000000003	224.394	235.99200000000002
12.4443	15.742	18.4685	12.1318	8.10341	18.4648
1.6745700000000001	2.8621	0.874431	0.608191	0.383673	1.8734099999999998
23.4176	9.64874	17.0323	23.0853	16.0962	13.4734
52.6168	45.9638	52.7197	34.0489	30.0162	32.2709
3.1520599999999996	3.89623	3.4388699999999996	6.13291	8.82108	16.3219
0.0	1.09796	0.0	0.622173	2.3549599999999997	0.0
329.31	86.8387	168.03	184.53099999999998	54.3246	140.207
233.173	261.535	251.128	238.535	247.08599999999998	255.643
0.771409	0.0	0.0	0.840513	0.0	4.66024
0.0	1.3511	0.0	0.0	0.0	0.0
36.7681	44.9896	32.3995	49.1668	50.8326	20.1931
663.268	578.1519999999999	515.365	582.965	468.209	611.726
62.8384	58.6619	49.2198	61.5215	44.1312	38.5122
152.991	197.229	216.519	233.94299999999998	258.118	465.62800000000004
17.8371	74.1563	67.4024	39.9205	10.4379	15.5326
390.901	375.81300000000005	498.61300000000006	438.68699999999995	475.525	303.407
331.19199999999995	352.76599999999996	340.038	370.18300000000005	277.638	281.774
70.0827	79.3155	80.6103	71.0866	55.5493	75.8617
309.342	327.253	463.43300000000005	421.00300000000004	608.241	284.836
212.987	277.56	293.76099999999997	249.278	333.04400000000004	252.294
121.012	64.0157	82.3142	56.7787	270.42900000000003	280.998
57.3906	117.24799999999999	168.57299999999998	132.88	166.42	166.13099999999997
64.2774	40.8485	38.4002	36.7982	32.5743	32.9079
113.09	163.08700000000002	211.50900000000001	176.02900000000002	242.717	148.724
304.004	292.27099999999996	425.42	363.55300000000005	428.11	420.566
25.4338	24.9836	8.44505	22.8926	20.5223	7.79387
125.758	83.1749	78.5928	111.757	129.66	93.3945
32.8455	63.1554	141.499	90.9606	177.79	96.4572
47.2559	42.7368	44.2291	31.4171	31.7933	31.4515
217.345	96.3754	153.217	103.425	79.5744	112.545
1.68023	0.538459	0.0	3.66149	0.5774560000000001	0.0
113.59100000000001	105.259	110.948	111.837	95.9499	168.111
314.909	249.798	271.08299999999997	152.875	185.37900000000002	259.518
35.9791	30.5992	38.2076	32.4171	27.1082	16.7198
27.3307	29.5097	21.2428	26.1139	21.2425	25.4016
0.0	0.0	0.0	0.0	0.0	9.34952
60.4094	93.23	82.1825	109.99	43.4348	64.0255
101.616	246.56	623.479	233.739	1699.58	107.186
54.3953	58.9155	55.011	40.5124	44.7246	59.6218
136.287	202.88	149.795	154.882	157.136	191.817
169.158	110.16799999999999	179.512	141.20600000000002	195.505	151.09
54.5136	42.4267	59.4739	47.3762	31.4481	23.5234
2207.57	650.298	941.997	1180.66	740.765	1285.86
71.8066	50.2598	67.0697	43.2116	60.405	47.1915
98.677	96.50399999999999	103.943	96.3941	77.1813	82.2246
373.12699999999995	174.55200000000002	335.93199999999996	194.709	281.528	123.79
110.88	47.0297	49.81100000000001	55.0766	56.0397	105.075
22.3856	11.5885	26.3011	15.0098	19.5294	27.7407
36.5192	20.5815	0.0	13.7209	2.59672	2.53587
103.243	107.26299999999999	118.693	99.7909	79.5489	55.8882
58.2713	38.4559	35.9725	44.1211	19.8568	37.7884
6.709230000000001	39.288000000000004	13.2574	15.6173	7.54627	20.2659
148.691	123.005	158.447	163.266	186.58	167.12
99.5207	106.65899999999999	128.429	97.77	127.84100000000001	68.993
5.958469999999999	4.29637	5.25052	4.86918	4.607530000000001	2.9997
92.3926	86.0933	86.0076	83.6328	89.3974	68.6969
45.6067	43.8464	40.188	46.1428	72.2123	41.0
175.95	115.279	129.651	131.121	110.19	104.10799999999999
5.25701	5.0541	4.32357	2.2911799999999998	5.42014	1.0586200000000001
58.01	51.0245	48.5798	63.879	50.9022	42.2529
205.47400000000002	215.088	264.444	201.051	211.153	216.41299999999998
60.4457	14.5281	44.3865	45.278999999999996	19.4754	53.2532
2.4886	1.7944099999999998	1.46195	1.3557700000000001	7.056019999999999	3.75854
260.452	175.176	205.685	161.939	139.608	148.207
105.21600000000001	80.4643	110.977	66.44	44.3786	57.7848
0.790906	1.71085	1.62618	0.215439	0.0	0.0
0.0	0.0	1.67725	0.0	0.0	0.0
42.19	44.6178	49.5696	37.9248	30.4494	21.2399
