cM1	cM2	cM3	cM4	cM5	cM6
4.5627699999999995	3.68756	1.6966299999999999	4.76305	6.83483	7.36945
382.582	256.137	563.1569999999999	1401.33	439.37	1130.43
41.3755	52.7163	44.9663	52.5029	50.3016	42.6141
21.4547	19.7208	24.3765	26.518	27.6745	22.8052
35.699	14.7722	4.60417	8.309289999999999	20.9566	4.615069999999999
205.56599999999997	185.668	319.7	405.144	196.81099999999998	853.9789999999999
9.75629	8.5251	6.65096	15.6195	5.62096	4.102580000000001
1.64179	0.0	0.0	0.0	0.0	0.0
6.933039999999999	2.73933	3.7810599999999996	0.0	4.15416	5.68501
69.0124	107.01799999999999	98.1399	128.881	53.3561	79.1033
67.775	86.7083	52.8829	101.383	70.3329	112.154
131.09	88.5559	124.406	215.041	134.29399999999998	236.875
24.234	28.6315	18.1402	47.0611	22.0656	59.7445
11.5551	14.0478	10.9069	6.37908	13.3146	30.3686
179.608	213.00099999999998	292.557	223.58	188.887	470.648
15.6481	13.4976	15.3251	9.80675	14.1962	6.927689999999999
29.8987	45.7982	40.7645	49.1349	37.6471	49.7438
173.824	163.309	227.19400000000002	214.794	233.951	773.3960000000001
545.977	515.562	519.673	473.159	581.239	361.347
102.682	81.7473	102.387	147.385	94.1245	87.96799999999999
0.0	1.74745	4.82395	1.26962	0.0	1.20884
11.1995	26.5504	0.0	9.64517	3.3552800000000005	15.3058
4.727069999999999	0.46693100000000004	0.6444989999999999	0.678502	0.708095	0.0
2.60609	2.57425	5.922000000000001	7.481339999999999	0.0	1.1872
62.0971	46.2397	80.3227	117.471	70.5989	120.116
4.13384	6.12499	6.763389999999999	11.867	8.05001	9.0392
45.028999999999996	46.2579	39.2918	77.5591	35.5245	59.4875
116.165	154.385	131.025	158.654	154.5	100.065
0.616401	0.0	0.0	0.884753	0.0	0.8424020000000001
1865.42	2297.57	2867.67	1050.62	3491.41	952.332
78.221	54.706	75.51	87.6891	81.2504	94.4157
11.2863	16.2581	9.617519999999999	3.3749800000000003	7.04436	2.5707400000000002
101.87100000000001	154.97899999999998	90.2298	88.5865	95.7917	73.1676
3.57309	5.2012599999999996	3.8460099999999997	1.34964	3.3804199999999995	3.5981099999999997
49.0665	80.1908	108.25399999999999	105.00200000000001	81.5177	99.9753
143.105	149.141	145.91	207.19299999999998	157.201	142.85399999999998
0.0	2.63397	1.81782	0.0	0.0	0.0
8.64058	8.535	11.7807	52.7098	6.47161	53.1388
364.408	417.158	357.80300000000005	641.452	431.19300000000004	633.524
0.0	0.0	0.0	0.0	0.0	0.0
19.6577	28.1867	25.5049	24.1199	32.296	16.899
35.5727	2.5098599999999998	0.0	3.6471	1.9030799999999999	0.0
329.68800000000005	278.30400000000003	192.07	287.954	258.53	219.74
0.0	0.0	0.0	0.0	0.0	0.0
50.9492	21.3248	38.8534	44.001999999999995	66.618	61.9585
1.9999200000000001	16.7916	27.2673	0.0	5.991569999999999	0.0
0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0
52.0455	49.4322	60.9527	86.1965	68.9662	103.956
64.0916	66.7979	59.8613	86.5614	42.7115	131.386
4.60568	0.267612	0.7387630000000001	0.38887	0.40583	0.370255
7.70338	22.8277	15.7544	13.8213	11.5393	13.1597
7.56725	1.49496	4.12694	5.43084	2.26708	1.0341799999999999
6.86763	13.5674	7.0226	9.857489999999999	20.5748	4.69281
211.75599999999997	255.40099999999998	215.605	446.134	216.46	533.457
89.0093	57.3061	54.7191	47.3396	86.904	43.4444
21.0867	2.60363	1.30682	2.4075900000000003	5.7430699999999995	1.3099100000000001
4.0071699999999995	1.9791	2.7317299999999998	0.9586180000000001	7.00299	5.476380000000001
80.8067	60.2146	56.0532	101.742	90.2528	93.9659
32.7066	57.2714	46.6198	53.3472	38.6006	86.0104
34.0752	6.11978	8.44705	13.3391	23.2014	25.4011
936.7489999999999	1153.59	1259.05	1330.88	940.8610000000001	1512.72
26.6106	27.494	24.6047	35.1225	27.4907	34.6953
0.0	239.69099999999997	0.0	522.447	545.2330000000001	0.0
4.9131800000000005	1.61771	5.582269999999999	1.17536	3.6798599999999997	0.0
78.4749	61.4436	50.3774	60.8204	90.6395	32.429
0.0	6.23311	0.0	0.823399	0.859311	1.56797
0.0	0.0	0.0	0.0	0.0	1.2436
2.47609	6.11457	11.2532	29.6172	9.89085	4.511909999999999
7.39055	3.04177	9.23672	0.0	0.92256	3.3667599999999998
5.14102	17.2659	21.0281	23.6134	4.62062	2.81039
433.44699999999995	550.284	308.744	424.73699999999997	235.158	246.82
1.7332599999999998	2.3969099999999997	1.8905299999999998	1.49271	3.1156200000000003	0.47375100000000003
384.80400000000003	385.066	422.852	729.055	349.50800000000004	693.666
124.49	72.9924	90.7662	85.9995	73.7947	51.4042
21.3673	21.3152	10.9608	16.3976	15.8452	6.07161
13.6046	8.79601	16.5253	9.94122	7.7811	4.39463
162.743	159.89	153.89	267.503	145.483	327.64
358.917	354.532	204.954	270.315	351.04900000000004	109.64399999999999
2.89451	0.0	0.0	2.0773200000000003	2.16793	0.0
14.5513	12.3772	14.8797	37.1311	15.137	18.2293
37.0154	26.2504	20.7046	17.7101	42.6519	6.4855
98.601	71.1476	99.1574	105.39299999999999	67.0412	173.93599999999998
0.0	0.0	0.0	0.0	0.0	0.0
0.533311	0.0	0.0	2.2964700000000002	0.798876	0.728847
28.7925	26.0706	32.0592	25.4852	32.3474	34.7584
2.8628	0.807948	0.0	0.391346	0.204207	0.186306
4.90215	8.473930000000001	13.9244	17.0044	8.56708	9.490960000000001
18.5906	23.7758	19.477	22.4708	17.5882	24.337
1.15472	0.977667	0.67473	0.710329	0.74131	0.901769
0.0	0.413261	0.0	1.2010299999999998	0.0	0.0
37286.4	34831.5	20954.0	38550.2	50481.6	28785.5
162.298	202.503	166.93099999999998	298.346	218.946	252.935
37.3028	2.23315	0.7705960000000001	0.0	0.0	0.77242
0.0	0.0	0.0	0.0	0.0	0.0
7.34704	10.8859	15.8604	20.2124	7.33703	10.8775
911.9860000000001	808.3580000000001	1067.18	848.6560000000001	991.465	993.105
21.351999999999997	25.0457	39.1189	35.4364	35.9824	25.533
33.7553	40.2631	28.6557	43.88	25.759	40.9092
13.0688	5.93123	0.963152	3.54889	12.6983	9.17159
284.564	246.55700000000002	229.109	308.97900000000004	220.482	261.501
684.453	581.743	906.549	561.617	1082.73	710.122
168.38400000000001	109.666	191.736	382.235	188.25	578.466
85.9408	141.484	157.38	209.22099999999998	94.6585	226.84099999999998
293.742	214.06599999999997	273.163	95.0945	237.34400000000002	145.632
32.6653	20.951999999999998	15.6167	12.1782	21.605999999999998	8.116710000000001
70.9573	249.21	157.658	154.659	129.911	154.439
14.3678	17.3461	14.1479	12.6029	20.3267	9.817860000000001
116.678	98.54899999999999	134.873	127.426	96.2549	146.747
425.55400000000003	466.861	509.843	530.245	461.142	778.33
5.67143	3.6013699999999997	1.10465	0.0	3.0341299999999998	0.0
205.19099999999997	336.945	130.08	302.025	142.916	133.067
91.2468	63.3894	214.638	208.69099999999997	135.18200000000002	261.737
65.7255	75.0666	56.6073	69.2805	81.3125	69.5732
160.543	182.979	142.67600000000002	141.80700000000002	122.677	95.9345
0.0	0.810681	0.0	0.0	0.0	0.0
24.0651	15.8474	24.6081	27.3457	30.0404	27.4071
968.595	868.7560000000001	1030.94	672.186	793.8960000000001	642.091
96.319	140.71	157.588	129.52	145.80100000000002	60.2745
96.7339	74.5548	106.68700000000001	73.8456	77.5279	75.363
0.0	0.0	0.0	0.0	0.0	0.0
5.82375	22.4351	11.9103	28.4211	9.5961	11.1426
33.0895	89.8842	64.4499	62.7615	10.6214	33.9162
27.7466	43.852	42.645	31.1368	15.1139	24.1308
84.8224	89.0888	124.432	120.209	54.6841	110.053
54.6393	75.3629	76.7676	124.81299999999999	68.8716	139.784
110.31299999999999	121.176	101.133	127.626	108.26299999999999	139.71200000000002
750.7760000000001	875.553	584.087	767.966	535.538	392.559
23.3338	34.573	22.2096	24.6452	13.8493	12.9361
13.7117	11.0816	13.5963	25.0488	7.46895	11.9249
15.7116	15.5196	12.8529	15.0344	39.2254	1.4314799999999999
51.7702	56.6448	14.1169	21.1494	19.6857	16.3273
2.5232900000000003	1.24623	1.72015	0.0	0.0	0.0
1.8453	0.0	2.51591	0.0	0.0	1.2609299999999999
28.0614	43.3855	52.6761	71.8	60.3107	83.9253
29.3069	26.8044	26.1451	78.9383	45.5264	58.8421
0.6703210000000001	0.0	0.0	0.641433	0.0	0.0
82.7622	145.984	123.20200000000001	191.523	84.7578	238.90900000000002
43.0327	63.7602	86.3776	70.3459	71.6234	45.7414
4.36563	1.07807	1.48805	1.56656	1.6348799999999999	0.0
65.611	55.0364	77.3859	79.97399999999999	95.9423	78.2807
17.3042	30.6491	22.7793	27.406999999999996	22.3456	48.1129
197.669	192.424	182.708	322.56	149.719	355.406
1.5406799999999998	1.14139	0.525147	0.552854	0.0	1.0527799999999998
31.1987	42.8765	49.9346	62.9532	44.025	48.8169
