cC1	cC2	cC3	cC4	cC5	cC6
0.0	0.0	0.0	0.0	0.0	0.0
1.46954	7.25541	1.94744	1.71714	1.53484	0.980466
112.484	110.94	124.22	125.22	136.533	106.48700000000001
158.077	148.565	128.738	154.822	147.39	141.90200000000002
291.62	267.09	269.361	267.916	241.40599999999998	225.65599999999998
0.0	0.0	1.9380000000000002	0.0	2.29109	0.0
39.6493	42.9258	40.3595	50.3585	64.8173	55.2078
43.0239	26.866999999999997	25.9161	52.5581	42.893	33.9243
228.77700000000002	222.215	188.857	248.575	273.54	223.08700000000002
229.928	225.407	210.732	220.541	216.98	220.446
620.39	453.715	721.953	709.93	662.209	643.186
0.0	3.9191300000000004	5.3766	6.2222800000000005	0.794524	3.04529
20.1847	40.9022	19.2592	31.133000000000003	21.9248	19.3926
31.6096	36.35	28.9235	35.6164	24.171	32.3877
14.1138	39.3859	28.0556	28.8608	18.4262	23.5416
737.437	744.127	987.8610000000001	830.961	926.035	635.039
18.1167	17.949	15.0822	23.6118	14.1913	18.131
414.594	593.313	244.187	0.0	433.015	184.40900000000002
0.0	1.60175	4.94418	1.0898700000000001	0.9741629999999999	1.24461
116.02799999999999	171.90200000000002	94.3206	103.77	90.7366	118.245
0.653418	0.561053	0.577275	0.763513	2.04735	0.8719110000000001
0.0	0.0	0.0	0.0	0.0	1.38307
21.6228	16.9518	17.442	12.0838	13.7465	18.8173
94.7042	115.04899999999999	53.2998	124.596	79.8624	82.3757
104.234	100.56200000000001	83.8101	41.055	77.0621	132.83700000000002
232.61599999999999	360.064	171.956	258.866	219.813	194.263
0.7897029999999999	1.01711	0.697678	0.92276	1.6495799999999998	1.05377
199.528	170.622	182.05700000000002	225.503	229.74599999999998	188.22799999999998
870.5139999999999	848.707	938.564	1170.03	954.337	1069.52
26.0251	30.6226	22.3537	24.7785	29.4466	28.2964
25.6392	20.0795	16.1796	23.0455	26.7784	26.6933
64.7803	77.0167	68.6777	73.366	66.6178	66.4937
83.6883	75.5752	35.2684	61.8206	53.2478	34.657
0.0	0.0	1.45639	0.0	0.0	0.0
27.6242	29.6492	29.693	22.5951	20.1962	20.2738
207.567	370.376	241.641	256.436	221.30599999999998	174.55200000000002
97.1766	93.0151	85.8527	112.619	91.5114	100.973
0.0	0.492036	1.01253	0.0	0.5985010000000001	0.0
10.3269	11.4751	2.68338	1.41963	6.979	1.6211799999999998
36.0754	48.8105	40.0809	42.7924	35.3948	32.0923
203.725	149.72799999999998	219.632	230.24900000000002	227.049	195.18400000000003
10.2369	12.3857	11.5105	15.224	10.2058	9.9345
51.4899	47.4651	53.9576	46.8821	47.492	61.5689
1.31528	0.484008	0.664004	0.658666	0.784981	0.5014529999999999
0.0	0.0	0.421013	0.0	0.0	0.0
464.848	364.079	546.6469999999999	548.675	467.46	469.405
175.135	214.428	167.143	221.065	204.37	177.437
587.77	396.341	560.797	497.23699999999997	428.981	412.344
0.0	0.0	0.0	0.0	0.0	0.0
26.5005	24.5509	19.7157	21.186999999999998	26.2213	31.6396
367.54400000000004	301.33	285.26599999999996	325.553	347.26	344.69
88.1629	78.3109	110.791	66.6062	88.1113	64.9066
47.1542	34.8825	52.5548	38.1456	50.007	52.2735
259.498	201.398	196.558	259.501	228.168	269.501
184.419	245.923	171.56900000000002	225.287	219.608	241.425
181.46400000000003	231.19400000000002	198.17	218.91	190.843	206.269
144.375	131.205	154.085	139.55700000000002	141.984	136.168
111.32600000000001	104.654	76.3086	108.777	85.1998	99.8883
205.479	158.08700000000002	187.96	203.97799999999998	235.025	205.641
6.28172	40.6606	8.53802	14.1156	11.6076	5.1583
50.8888	41.125	55.5372	31.4804	43.7705	59.9164
31.8219	36.6918	28.1137	26.5597	27.5383	29.1172
15.4088	22.3268	18.7182	20.2557	16.0935	29.5569
278.459	245.295	225.053	315.735	253.13099999999997	291.752
6.46	8.320260000000001	9.37615	9.165980000000001	5.783180000000001	7.38868
215.857	182.148	222.925	300.932	283.753	271.151
30.8376	34.3239	31.2802	22.6877	29.822	28.9568
45.4533	43.0457	48.2765	43.9343	46.9493	39.6915
16.2876	23.5206	18.9681	31.1431	20.1043	32.6009
0.0	0.0	0.0	0.0	0.0	0.0
63.9594	55.898999999999994	69.6237	85.4125	91.8518	77.7262
207.297	210.763	219.15599999999998	192.563	230.09599999999998	187.49599999999998
97.008	69.9085	80.0921	75.5686	87.4474	78.5922
62.461000000000006	45.1953	57.9726	64.7845	53.5085	56.6573
3.87471	0.0	37.6551	18.1102	8.09375	5.17035
8.62355	13.6699	7.61865	13.177	9.00672	12.3923
18.8452	21.9603	9.5138	15.7289	5.6235800000000005	10.7772
139.06	97.6932	106.61	112.803	136.836	102.74799999999999
50.1426	43.0546	22.69	37.1554	39.5973	44.0624
97.5292	95.4732	102.59200000000001	106.42399999999999	105.82600000000001	93.1752
75.8238	66.0357	79.4287	71.5124	69.5766	79.4971
47.0411	92.8402	70.7131	68.0936	68.1972	86.193
217.891	153.504	159.493	158.797	227.834	218.481
9.938889999999999	18.2871	11.2895	9.95443	13.3464	1.89462
29.8269	69.661	35.8376	30.6701	28.66	20.6963
12.7009	10.9055	27.6514	11.1307	17.5291	7.263380000000001
31.6155	40.7196	27.9313	23.5088	15.0092	19.176
0.0	0.0	0.0	0.0	0.0	0.0
12.5073	15.9101	15.5516	11.9082	9.19251	8.03571
7.8303	7.43116	7.28193	4.81559	9.89995	8.79885
3.30861	7.648610000000001	7.64491	2.37912	1.3290799999999998	3.73573
69.2593	122.242	68.8371	118.021	121.566	71.8811
63.9931	61.9618	79.391	65.2296	73.9468	58.1389
1.24316	1.0674299999999999	1.09829	1.45262	0.0	0.0
38.5531	60.6046	38.2525	58.217	46.4609	49.8617
16.3119	15.7568	15.0115	15.8836	15.6169	5.44158
113.12	101.48899999999999	132.611	125.825	109.816	111.758
18.8651	10.9245	22.8684	18.9678	20.1616	18.1482
82.9188	87.1176	81.4464	80.6412	105.43	100.337
111.686	123.022	81.7281	108.75399999999999	92.4944	95.5917
97.7369	81.214	103.06	110.521	118.544	96.7623
10.3843	4.01239	8.25681	9.100480000000001	9.218860000000001	12.470999999999998
392.67900000000003	315.154	368.52	327.147	361.54699999999997	348.13
52.8844	50.5495	54.6557	40.808	56.2764	38.6128
160.227	98.8974	126.103	155.988	119.60700000000001	137.839
0.0	0.0	0.0	0.0	0.0	0.0
25.526999999999997	31.7442	14.7757	25.7138	23.9032	25.8408
170.135	177.238	161.201	155.172	173.28	166.861
47.7112	76.2832	74.1283	46.138000000000005	53.2678	43.907
